49701, FENAFLAN , FENAFLAN, NOT FOUND, A.IM 75 MG 3 ML x 3, TTB
49702, FENAFLAN , FENAFLAN, NOT FOUND, CPR ENT.COAT 50 MG x 10, TTB
92528, FENAFLAN , FENAFLAN, NOT FOUND, CPR REVEST 50 MG x 20, TTB
49873, FENAFLAN , FENAFLAN, NOT FOUND, GOTAS 15 MG 15 ML x 1 (/ML), TTB
53244, FENAFLAN D , FENAFLAN D, NOT FOUND, CPR ENT.COAT 50 MG x 20, TTB
53119, FENAFLAN GEL , FENAFLAN GEL, NOT FOUND, GEL. 10 MG 60 G x 1 (/G), TTB
95903, FENAFLAN GEL , FENAFLAN GEL, NOT FOUND, GEL. 11.6 MG 30 G x 1 (/G), TTB
69230, FENITOINA MG , FENITOINA, FENITOINA, CPR 100 MG x 100, TTB
68417, FENITOINA MG , FENITOINA, FENITOINA, CPR 100 MG x 30, TTB
73325, FENITOINA SODIC.MG , FENITOINA SODIC, FENITOINA SODICA, AMP. 50 MG 5 ML x 72, TTB
73326, FENOBARBITAL MG , FENOBARBITAL, FENOBARBITAL, CPR 100 MG x 100, TTB
71084, FENOBARBITAL MG , FENOBARBITAL, FENOBARBITAL, CPR 100 MG x 30, TTB
70057, FENOXIMETILPENC.MG , FENOXIMETILPENC, NOT FOUND, CPR 500 K x 12, TTB
55797, FERRONIL , FERRONIL, NOT FOUND, CPR REVEST 40 MG x 50, TTB
87344, FIBRA MIX , FIBRA MIX, NOT FOUND, SACHE. 5 G x 10, TTB
78930, FINARID , FINARID, NOT FOUND, CPR REVEST 5 MG x 30, TTB
164084, FINASTERIDA MG , FINASTERIDA, FINASTERIDA, CPR REVEST 1 MG x 30, TTB
78931, FINASTERIDA MG , FINASTERIDA, FINASTERIDA, CPR REVEST 5 MG x 30, TTB
48988, FLANAREN , FLANAREN, NOT FOUND, CPR REVEST 50 MG x 20, TTB
53364, FLEXTOSS , FLEXTOSS, NOT FOUND, GOTAS ORAL 30 MG 10 ML x 1 (/ML), TTB
53365, FLEXTOSS , FLEXTOSS, NOT FOUND, XAR. AD 15 MG 100 ML x 1 (/5ML), TTB
53366, FLEXTOSS , FLEXTOSS, NOT FOUND, XAR. PED. 1.50 MG 60 ML x 1 (/ML), TTB
59810, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 1, TTB
75238, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 100, TTB
59811, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 2, TTB
76505, FLUCONAZOL MG , FLUCONAZOL, FLUCONAZOL, CAPS 150 MG x 500, TTB
140540, FLUIDO PE CANSADAS , FLUIDO PE CANSADAS, NOT FOUND, LOCAO 150 ML x 1, TTB
53126, FLUITOSS , FLUITOSS, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), TTB
53125, FLUITOSS , FLUITOSS, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), TTB
51942, FLUXIL , FLUXIL, NOT FOUND, CPR 40 MG x 20, TTB
56304, FOS.DIS.DEXAMET.MG , FOS DIS DEXAMET, NOT FOUND, AMP. 2 MG 1 ML x 1 (/ML), TTB
56305, FOS.DIS.DEXAMET.MG , FOS DIS DEXAMET, NOT FOUND, AMP. 4 MG 2.50 ML x 1 (/ML), TTB
72028, FOS.DIS.DEXAMET.MG , FOS DIS DEXAMET, NOT FOUND, AMP. 4 MG 2.50 ML x 100 (/ML), TTB
112803, FOS.DIS.DEXAMET.MG , FOS DIS DEXAMET, NOT FOUND, AMP. 4 MG 2.50 ML x 120 (/ML), TTB
72191, FUMARATO CETOTI.MG , FUMARATO CETOTI, FUMARATO CETOTIFENO, XAR. 0.20 MG 120 ML x 1 (/ML), TTB
66356, FUNGONAX , FUNGONAX, NOT FOUND, CAPS 100 MG x 15, TTB
66355, FUNGONAX , FUNGONAX, NOT FOUND, CAPS 100 MG x 4, TTB
56166, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, AMP. 10 MG 2 ML x 5 (/ML), TTB
56167, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, AMP. 10 MG 2 ML x 50 (/ML), TTB
73683, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, AMP. 10 MG 2 ML x 60 (/ML), TTB
69999, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, CPR 40 MG x 100, TTB
59005, FUROSEMIDA MG , FUROSEMIDA, FUROSEMIDA, CPR 40 MG x 20, TTB
