72807; HALOPER ; HALOPER; NOT FOUND; CPR 5 MG x 100; TTB
73009; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; AMP. 5 MG 1 ML x 60; TTB
46954; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 250 MG x 20; TTB
78092; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 400 MG x 24; TTB
55024; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 500 MG x 20; TTB
52224; HELMIZOL ; HELMIZOL; NOT FOUND; GEL VAG.10AP 500 MG 50 G x 1 (/5G); TTB
46955; HELMIZOL ; HELMIZOL; NOT FOUND; SUSP 200 MG 80 ML x 1 (/5ML); TTB
104618; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REV 10 MG x 10; TTB
104619; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REV 10 MG x 20; TTB
100129; HEMORFREE ; HEMORFREE; NOT FOUND; POM. 25 G x 1; TTB
49988; HINCOMOX ; HINCOMOX; NOT FOUND; CAPS 500 MG x 12; TTB
111576; HINCOMOX ; HINCOMOX; NOT FOUND; POLVO SUSP. 250 MG 60 ML x 50 (/ML); TTB
54631; HINCOMOX ; HINCOMOX; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); TTB
49376; HINCOMOX ; HINCOMOX; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); TTB
51411; HIOSPAN ; HIOSPAN; NOT FOUND; AMP. 20 MG 1 ML x 6 (/ML); TTB
55748; HIOSPAN COMPOSTO ; HIOSPAN COMPOSTO; NOT FOUND; AMP. 5 ML x 100; TTB
50526; HIOSPAN COMPOSTO ; HIOSPAN COMPOSTO; NOT FOUND; AMP. 5 ML x 3; TTB
50527; HIOSPAN CPTO DRAG ; HIOSPAN CPTO DRAG; NOT FOUND; DRAG x 20; TTB
50528; HIOSPAN CPTO GO ; HIOSPAN CPTO GO; NOT FOUND; GOTAS 20 ML x 1; TTB
59814; HIPERIL ; HIPERIL; NOT FOUND; CAPS GELATIN 300 MG x 30; TTB
74479; HIPODERME ; HIPODERME; NOT FOUND; CREME OMEGA 45 G x 1; TTB
75354; HIPODERME ; HIPODERME; NOT FOUND; CREME OMEGA 90 G x 1; TTB
49007; HIPODERME ; HIPODERME; NOT FOUND; POM. 45 G x 1; TTB
75461; HIPODERME ; HIPODERME; NOT FOUND; POM. 90 G x 1; TTB
89900; HIPODERME AMENDOAS ; HIPODERME AMENDOAS; NOT FOUND; CREME 45 G x 1; TTB
89886; HIPODERME AMENDOAS ; HIPODERME AMENDOAS; NOT FOUND; CREME 90 G x 1; TTB
135645; HIPODERME BABY ; HIPODERME BABY; NOT FOUND; OLEO PURO 200 ML x 1; TTB
123861; HIPODERME BABY ; HIPODERME BABY; NOT FOUND; OLEO PURO 400 ML x 1; TTB
85571; HIPODERTRAT ; HIPODERTRAT; NOT FOUND; POM DERM 60 G x 1; TTB
129257; HYNIB TABS ; HYNIB TABS; NOT FOUND; TABS MAS COC x 60; TTB
