59815; LABIGERON ; LABIGERON; NOT FOUND; CPR 25 MG x 30; TTB
59816; LABIGERON ; LABIGERON; NOT FOUND; CPR 75 MG x 30; TTB
80427; LACTO 4 ; LACTO 4; NOT FOUND; SACHE. 1 G x 10; TTB
82863; LAMOCTRIL ; LAMOCTRIL; NOT FOUND; CPR 100 MG x 30; TTB
85650; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 100 MG x 30; TTB
100208; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 100 MG x 60; TTB
54685; LANOGASTRO ; LANOGASTRO; NOT FOUND; CAPS L.P. 30 MG x 14; TTB
76753; LANOGASTRO ; LANOGASTRO; NOT FOUND; CAPS L.P. 30 MG x 28; TTB
54684; LANOGASTRO ; LANOGASTRO; NOT FOUND; CAPS L.P. 30 MG x 7; TTB
78483; LANS+CLAR+AMOX MG ; LANS CLAR AMOX; NOT FOUND; KIT. x 56; TTB
78484; LANS+CLAR+AMOX MG ; LANS CLAR AMOX; NOT FOUND; KIT. x 84; TTB
58990; LESTAMIL ; LESTAMIL; NOT FOUND; CPR x 15; TTB
58991; LESTAMIL ; LESTAMIL; NOT FOUND; XAROPE 120 ML x 1; TTB
50223; LEXIN ; LEXIN; NOT FOUND; CPR 500 MG x 10; TTB
75246; LEXIN ; LEXIN; NOT FOUND; SUSP 250 MG 100 ML x 1 (/5ML); TTB
101285; LICOPENO TOM FOLLI ; LICOPENO TOM FOLLI; NOT FOUND; CAPS 5 MG x 30; TTB
53100; LINCOMYN ; LINCOMYN; NOT FOUND; AMP. 600 MG 2 ML x 1; TTB
154170; LINHA MULHER TEUTO ; LINHA MULHER TEUTO; NOT FOUND; EMUL ANTI-ES 200 G x 1; TTB
87184; LIPTHAL ; LIPTHAL; NOT FOUND; CPR REVEST 10 MG x 30; TTB
87134; LIPTHAL ; LIPTHAL; NOT FOUND; CPR REVEST 10 MG x 60; TTB
87132; LIPTHAL ; LIPTHAL; NOT FOUND; CPR REVEST 20 MG x 30; TTB
87136; LIPTHAL ; LIPTHAL; NOT FOUND; CPR REVEST 20 MG x 60; TTB
62798; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; TTB
62800; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; TTB
62796; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; TTB
53135; LOPRAZOL ; LOPRAZOL; NOT FOUND; CAPS 10 MG x 14; TTB
53137; LOPRAZOL ; LOPRAZOL; NOT FOUND; CAPS 20 MG x 14; TTB
80250; LOPRAZOL ; LOPRAZOL; NOT FOUND; CAPS 20 MG x 28; TTB
53136; LOPRAZOL ; LOPRAZOL; NOT FOUND; CAPS 20 MG x 7; TTB
55751; LORADINE ; LORADINE; NOT FOUND; CPR 10 MG x 12; TTB
86554; LORADINE ; LORADINE; NOT FOUND; XAR. 1 MG 100 ML x 1 (/ML); TTB
69259; LORATA+PSEUDOEF.MG ; LORATA PSEUDOEF; NOT FOUND; XAR. 60 ML x 1; TTB
78932; LORATADINA MG ; LORATADINA; LORATADINA; XAR. 1 MG 100 ML x 1 (/ML); TTB
75857; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 2 MG x 100; TTB
75210; LORAZEPAM MG ; LORAZEPAM; LORAZEPAM; CPR 2 MG x 30; TTB
73330; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; TTB
75249; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 60; TTB
75462; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 75; TTB
76256; LOTANOL ; LOTANOL; NOT FOUND; CPR REVEST 50 MG x 30; TTB
76257; LOTANOL ; LOTANOL; NOT FOUND; CPR REVEST 50 MG x 60; TTB
55149; LOZAN ; LOZAN; NOT FOUND; CREME 2 % 30 G x 1; TTB
52529; LOZAN ; LOZAN; NOT FOUND; XAMP 2 % 100 ML x 1 (/G); TTB
55147; LOZAN COMPRIMIDOS ; LOZAN COMPRIMIDOS; NOT FOUND; CPR 200 MG x 10; TTB
55148; LOZAN COMPRIMIDOS ; LOZAN COMPRIMIDOS; NOT FOUND; CPR 200 MG x 30; TTB
