129297, DAILY CARE , DAILY CARE, NOT FOUND, KIT 200 ML x 2, TTB
76600, DAILY CARE , DAILY CARE, NOT FOUND, LIQD 200 ML x 1, TTB
54652, DELTAMITREN , DELTAMITREN, NOT FOUND, LOC. 0.02 % 100 ML x 1, TTB
55730, DEPRAMINA , DEPRAMINA, DEPRAMINA, CPR REVEST 25 MG x 20, TTB
55830, DERMDRYL , DERMDRYL, NOT FOUND, LOC. 120 ML x 1, TTB
76601, DERMOSENIOR , DERMOSENIOR, NOT FOUND, POM. 45 G x 1, TTB
76602, DERMOSENIOR , DERMOSENIOR, NOT FOUND, POM. 90 G x 1, TTB
104592, DERMOVAGIN , DERMOVAGIN, NOT FOUND, CR.VAG.7 APL 40 G x 1, TTB
87318, DEXADOZE , DEXADOZE, NOT FOUND, A IM A+B 3 ML x 120, TTB
51040, DEXADOZE 1000 , DEXADOZE 1000, NOT FOUND, A.IM A+B 3 ML x 3, TTB
49397, DEXADOZE 5000 , DEXADOZE 5000, NOT FOUND, A.IM A+B 3 ML x 3, TTB
80438, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, CPR 4 MG x 10, TTB
102149, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, CPR 4 MG x 200, TTB
56283, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.10 MG 100 ML x 1 (/ML), TTB
48444, DEXASON , DEXASON, NOT FOUND, CPR 0.50 MG x 20, TTB
49868, DEXASON , DEXASON, NOT FOUND, CPR 0.75 MG x 20, TTB
49944, DEXASON , DEXASON, NOT FOUND, CPR 4 MG x 10, TTB
48972, DEXASON , DEXASON, NOT FOUND, CREME 0.10 % 10 G x 1, TTB
47989, DEXASON , DEXASON, NOT FOUND, ELIXIR 0.10 MG 100 ML x 1 (/5ML), TTB
49919, DEXASON , DEXASON, NOT FOUND, F.AMP 4 MG 2.50 ML x 1, TTB
55165, DEXASON , DEXASON, NOT FOUND, F.AMP 4 MG 2.50 ML x 100 (/ML), TTB
49401, DEXAVISON , DEXAVISON, NOT FOUND, COLIRIO 5 ML x 1, TTB
72855, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, AMP. 10 MG 2 ML x 72, TTB
59806, DICLOF.RESINATO MG , DICLOF RESINATO, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), TTB
62720, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 10 MG 60 G x 1 (/G), TTB
93703, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 11.6 MG 30 G x 1 (/G), TTB
71314, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, AMP. 25 MG 3 ML x 100 (/ML), TTB
61333, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, CPR DISPER. 50 MG x 20, TTB
73885, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, AMP. 25 MG 3 ML x 100 (/ML), TTB
56566, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, AMP. 25 MG 3 ML x 5 (/ML), TTB
75394, DICLOR.CETIRIZI.MG , DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, SOLN ORAL 1 MG 120 ML x 1 (/ML, TTB
52199, DIGESTIL , DIGESTIL, NOT FOUND, CPR 10 MG x 20, TTB
52476, DIGESTIL , DIGESTIL, NOT FOUND, GOTAS 4 MG 20 ML x 1 (/ML), TTB
69382, DIGOXINA MG , DIGOXINA, DIGOXINA, CPR 0.25 MG x 100, TTB
67543, DIGOXINA MG , DIGOXINA, DIGOXINA, CPR 0.25 MG x 30, TTB
87181, DILABRONCO , DILABRONCO, NOT FOUND, XAR. 10 MG 120 ML x 1 (/ML), TTB
87179, DILABRONCO , DILABRONCO, NOT FOUND, XAR. 5 MG 120 ML x 1 (/ML), TTB
53110, DILACOR , DILACOR, NOT FOUND, CPR REVEST 80 MG x 30, TTB
69936, DIMET+MET.HOMAT.MG , DIMET MET HOMAT, NOT FOUND, GOTAS 20 ML x 1, TTB
86502, DIMEZIN , DIMEZIN, NOT FOUND, CAPS 125 MG x 10, TTB
87175, DIMEZIN , DIMEZIN, NOT FOUND, CAPS MAX 125 MG x 80, TTB
61999, DIMEZIN , DIMEZIN, NOT FOUND, CPR 40 MG x 20, TTB
55173, DIMEZIN , DIMEZIN, NOT FOUND, EMULS 75 MG 10 ML x 1 (/ML), TTB
69668, DIP.BET+AC.SALI MG , DIP BET AC SALI, NOT FOUND, POM. 30 G x 1, TTB
70048, DIPIRONA SO.INJ MG , DIPIRONA SO INJ, NOT FOUND, AMP. 500 MG 2 ML x 100 (/ML), TTB
73682, DIPIRONA SO.INJ MG , DIPIRONA SO INJ, NOT FOUND, AMP. 500 MG 2 ML x 120 (/ML), TTB
56577, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), TTB
56578, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), TTB
112276, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, SOLN ORAL 50 MG 100 ML x 1 (/ML, TTB
66152, DIPROSEN , DIPROSEN, NOT FOUND, HYPACK J.DES 5 MG 1 ML x 1 (/2), TTB
52200, DIURIX , DIURIX, NOT FOUND, CPR 25 MG x 20, TTB
75398, DIURIX , DIURIX, NOT FOUND, CPR 25 MG x 30, TTB
75400, DIURIX , DIURIX, NOT FOUND, CPR 25 MG x 300, TTB
52201, DIURIX , DIURIX, NOT FOUND, CPR 50 MG x 20, TTB
75399, DIURIX , DIURIX, NOT FOUND, CPR 50 MG x 30, TTB
