77086, CALSUPRE D , CALSUPRE D, NOT FOUND, CAPS x 60, TTB
77085, CALSUPRE D , CALSUPRE D, NOT FOUND, CAPS x 75, TTB
87343, CALSUPRE M , CALSUPRE M, NOT FOUND, CPR MAST LIM x 60, TTB
158165, CANDITRAT , CANDITRAT, NOT FOUND, CR VAG 14APL 25 K 60 G x 1 (/G), TTB
49164, CANDITRAT , CANDITRAT, NOT FOUND, CREME VAG. 25 K 60 G x 1 (/G), TTB
46709, CANDITRAT , CANDITRAT, NOT FOUND, SUSP 50 ML x 1, TTB
53088, CAPRIL , CAPRIL, NOT FOUND, CPR 12.5 MG x 15, TTB
53090, CAPRIL , CAPRIL, NOT FOUND, CPR 25 MG x 15, TTB
53961, CAPRIL , CAPRIL, NOT FOUND, CPR 50 MG x 30, TTB
65528, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, TTB
95876, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 60, TTB
112801, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 100, TTB
65527, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, TTB
95881, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 60, TTB
65529, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, TTB
98206, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 60, TTB
68408, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, TTB
75848, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 500, TTB
68410, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 400 MG x 20, TTB
76595, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 400 MG x 500, TTB
57025, CARBIDOL , CARBIDOL, NOT FOUND, CPR 25 MG x 30 (/250), TTB
102147, CARBIDOL , CARBIDOL, NOT FOUND, CPR 25 MG x 50 (/250), TTB
64086, CARBITAL , CARBITAL, NOT FOUND, CPR 100 MG x 20, TTB
62019, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. AD 50 MG 100 ML x 1 (/ML), TTB
62020, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. PED. 20 MG 100 ML x 1 (/ML), TTB
51931, CARDCOR , CARDCOR, NOT FOUND, CPR 0.25 MG x 20, TTB
62710, CARDICORON , CARDICORON, NOT FOUND, CPR 100 MG x 20, TTB
62709, CARDICORON , CARDICORON, NOT FOUND, CPR 200 MG x 20, TTB
53614, CARMAZIN , CARMAZIN, NOT FOUND, CPR 400 MG x 20, TTB
78104, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, CAPS 500 MG x 8, TTB
132060, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, PO P/SUSP 250 MG 100 ML x 1 (/5ML), TTB
75387, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR 500 MG x 10, TTB
62793, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR 500 MG x 40, TTB
102148, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR 500 MG x 500, TTB
62789, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR 500 MG x 8, TTB
70115, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR 500 MG x 80, TTB
74210, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, SUSP 250 MG 100 ML x 1 (/5ML), TTB
74211, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, SUSP 250 MG 60 ML x 50 (/5ML), TTB
56385, CEFALOTINA SODI.MG , CEFALOTINA SODI, CEFALOTINA SODICA, F.AMP LIOF 1 G x 1, TTB
73774, CEFALOTINA SODI.MG , CEFALOTINA SODI, CEFALOTINA SODICA, F.AMP LIOF 1 G x 50, TTB
78194, CEFANAXIL , CEFANAXIL, NOT FOUND, CAPS 500 MG x 8, TTB
154166, CELECOXIBE MG , CELECOXIBE, CELECOXIBE, CAPS GEL 100 MG x 20, TTB
154167, CELECOXIBE MG , CELECOXIBE, CELECOXIBE, CAPS GEL 200 MG x 10, TTB
154168, CELECOXIBE MG , CELECOXIBE, CELECOXIBE, CAPS GEL 200 MG x 15, TTB
154169, CELECOXIBE MG , CELECOXIBE, CELECOXIBE, CAPS GEL 200 MG x 30, TTB
68188, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, CREME 30 G x 1, TTB
68189, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, POM. 30 G x 1, TTB
75502, CETIRTEC , CETIRTEC, NOT FOUND, SOLN ORAL 1 MG 120 ML x 1 (/ML), TTB
71548, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, CREME 30 G x 1, TTB
71549, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, POM. 30 G x 1, TTB
61930, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, TTB
61931, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 30, TTB
56122, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CREME 2 % 30 G x 1, TTB
69002, CETOCONAZOL SHA.MG , CETOCONAZOL SHA, NOT FOUND, XAMP 20 MG 100 ML x 1 (/ML), TTB
53226, CETOCORT , CETOCORT, NOT FOUND, CREME 30 G x 1, TTB
53227, CETOCORT , CETOCORT, NOT FOUND, POM. 30 G x 1, TTB
85481, CETOFENID , CETOFENID, NOT FOUND, GEL . 25 MG 30 G x 1 (/G), TTB
85668, CETOFENID , CETOFENID, NOT FOUND, GOTAS 20 MG 20 ML x 1 (/ML), TTB
85530, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, GEL. 25 MG 30 G x 1 (/G), TTB
80424, CETOPROFENO MG , CETOPROFENO, CETOPROFENO, GOTAS 20 MG 20 ML x 1 (/ML), TTB
52442, CEVITA , CEVITA, NOT FOUND, CPR 500 MG x 20, TTB
53616, CEVITA INJETAVEL , CEVITA INJETAVEL, NOT FOUND, AMP. 500 MG 5 ML x 100, TTB
72154, CEVITA INJETAVEL , CEVITA INJETAVEL, NOT FOUND, AMP. 500 MG 5 ML x 120, TTB
117551, CHA VERDE FOLLIUM , CHA VERDE FOLLIUM, NOT FOUND, SACHE 10 G x 25, TTB
104617, CICATRIDERM , CICATRIDERM, NOT FOUND, GEL 15 G x 1, TTB
70118, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, AMP. 150 MG 2 ML x 100 (/ML), TTB
74324, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, AMP. 150 MG 2 ML x 120 (/ML), TTB
62482, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, CPR 200 MG x 10, TTB
75347, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, CPR 200 MG x 20, TTB
62484, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, CPR 400 MG x 16, TTB
66149, CIPRANE , CIPRANE, NOT FOUND, DRAG x 21, TTB
85258, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, TTB
85261, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, TTB
85264, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, TTB
