503900301178412, BENZOLINA, BENZOLINA, NOT FOUND, 100 MG/G SABX60 G, BFR
503900302174410, BENZOLINA, BENZOLINA, NOT FOUND, 250MG/ML EMU FR100ML, BFR
503900303170419, BENZOLINA, BENZOLINA, NOT FOUND, 250MG/ML EMU FR60ML, BFR
503900304177417, BENZOLINA, BENZOLINA, NOT FOUND, 250MG/ML EMUFR120ML, BFR
503900401131418, BIMOXIN, BIMOXIN, NOT FOUND, 250 MG/5ML FR. 60ML, BFR
503900402136413, BIMOXIN, BIMOXIN, NOT FOUND, 250MG/5ML POFR150ML, BFR
503900403116416, BIMOXIN, BIMOXIN, NOT FOUND, 500MG CAP 1 BL X 15, BFR
503900404112414, BIMOXIN, BIMOXIN, NOT FOUND, 500MG CAP 1 BL X 21, BFR
503904701138410, BIOCRIN, BIOCRIN, NOT FOUND, SOL ORAL 15ML, BFR
503904802163410, BIODOL, BIODOL, NOT FOUND, 20 MG CREME DERM X 20G, BFR
503904801167412, BIODOL, BIODOL, NOT FOUND, 20 MG CREME DERM X 28G, BFR
503900502130417, BIODROX, BIODROX, NOT FOUND, 230MG/5ML SUSP ORAL 120ML, BFR
503900503137415, BIODROX, BIODROX, NOT FOUND, 230MG/5ML SUSP ORAL 240ML, BFR
503900501118413, BIODROX, BIODROX, NOT FOUND, 230MG10STRX10COMP, BFR
503904901110412, BIOSEMIDE, BIOSEMIDE, NOT FOUND, 40MG C/CT2BL AL PVCX10, BFR
503905001113413, BIOTENOR, BIOTENOR, NOT FOUND, 100MG CT2BL AL PL INCX14, BFR
503905003116411, BIOTENOR, BIOTENOR, NOT FOUND, 25MG CT2BL AL PL INCX14, BFR
503905002111414, BIOTENOR, BIOTENOR, NOT FOUND, 50MG CT2BL AL PL INCX14, BFR
503900601139412, BIOTOSS, BIOTOSS, NOT FOUND, 1.5MG/ML XARP INFANTIL 120 ML, BFR
503900602135410, BIOTOSS, BIOTOSS, NOT FOUND, 3.0MG/ML XARP ADULTO 120 ML, BFR
503900603131419, BIOTOSS, BIOTOSS, NOT FOUND, 30MG/ML GOTAS FRASCO 10ML, BFR
503900701117410, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100MG 1BLISTX10CAPS, BFR
503900702113419, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100MG 1BLISTX15CAPS, BFR
503900703111411, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100MG 1BLISTX4CAPS, BFR
503900801111414, BIOVIT, BIOVIT, NOT FOUND, CX. 100 DRAGEAS, BFR
503900802118412, BIOVIT, BIOVIT, NOT FOUND, CX. 20 DRAGEAS, BFR
503900803114410, BIOVIT, BIOVIT, NOT FOUND, CX.50 DRAGEAS, BFR
503900804137414, BIOVIT, BIOVIT, NOT FOUND, SOL OR. FR 20 ML, BFR
503905101134412, BIOZITROM, BIOZITROM, NOT FOUND, 200MG/5MLFRX20ML+D FLX9+SER, BFR
503905102130410, BIOZITROM, BIOZITROM, NOT FOUND, 200MG/5MLFRX30ML+D FLX12+SER, BFR
503905104117411, BIOZITROM, BIOZITROM, NOT FOUND, 500MG VER CT BL AL PVCX2, BFR
503905103110413, BIOZITROM, BIOZITROM, NOT FOUND, 500MG VER CT BL AL PVCX3, BFR
503900301178412, BENZOLINA, BENZOLINA, NOT FOUND, 100 MG/G SABX60 G, BFR
503900302174410, BENZOLINA, BENZOLINA, NOT FOUND, 250MG/ML EMU FR100ML, BFR
503900303170419, BENZOLINA, BENZOLINA, NOT FOUND, 250MG/ML EMU FR60ML, BFR
503900304177417, BENZOLINA, BENZOLINA, NOT FOUND, 250MG/ML EMUFR120ML, BFR
503900401131418, BIMOXIN, BIMOXIN, NOT FOUND, 250 MG/5ML FR. 60ML, BFR
503900402136413, BIMOXIN, BIMOXIN, NOT FOUND, 250MG/5ML POFR150ML, BFR
503900403116416, BIMOXIN, BIMOXIN, NOT FOUND, 500MG CAP 1 BL X 15, BFR
503900404112414, BIMOXIN, BIMOXIN, NOT FOUND, 500MG CAP 1 BL X 21, BFR
503904701138410, BIOCRIN, BIOCRIN, NOT FOUND, SOL ORAL 15ML, BFR
503904802163410, BIODOL, BIODOL, NOT FOUND, 20 MG CREME DERM X 20G, BFR
503904801167412, BIODOL, BIODOL, NOT FOUND, 20 MG CREME DERM X 28G, BFR
503900502130417, BIODROX, BIODROX, NOT FOUND, 230MG/5ML SUSP ORAL 120ML, BFR
503900503137415, BIODROX, BIODROX, NOT FOUND, 230MG/5ML SUSP ORAL 240ML, BFR
503900501118413, BIODROX, BIODROX, NOT FOUND, 230MG10STRX10COMP, BFR
503904901110412, BIOSEMIDE, BIOSEMIDE, NOT FOUND, 40MG C/CT2BL AL PVCX10, BFR
503905001113413, BIOTENOR, BIOTENOR, NOT FOUND, 100MG CT2BL AL PL INCX14, BFR
503905003116411, BIOTENOR, BIOTENOR, NOT FOUND, 25MG CT2BL AL PL INCX14, BFR
503905002111414, BIOTENOR, BIOTENOR, NOT FOUND, 50MG CT2BL AL PL INCX14, BFR
503900601139412, BIOTOSS, BIOTOSS, NOT FOUND, 1.5MG/ML XARP INFANTIL 120 ML, BFR
503900602135410, BIOTOSS, BIOTOSS, NOT FOUND, 3.0MG/ML XARP ADULTO 120 ML, BFR
503900603131419, BIOTOSS, BIOTOSS, NOT FOUND, 30MG/ML GOTAS FRASCO 10ML, BFR
503900701117410, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100MG 1BLISTX10CAPS, BFR
503900702113419, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100MG 1BLISTX15CAPS, BFR
503900703111411, BIOTRAZOL, BIOTRAZOL, NOT FOUND, 100MG 1BLISTX4CAPS, BFR
503905101134412, BIOZITROM, BIOZITROM, NOT FOUND, 200MG/5MLFRX20ML+D FLX9+SER, BFR
503905102130410, BIOZITROM, BIOZITROM, NOT FOUND, 200MG/5MLFRX30ML+D FLX12+SER, BFR
503905104117411, BIOZITROM, BIOZITROM, NOT FOUND, 500MG VER CT BL AL PVCX2, BFR
