501601201116413; LABIRIN; LABIRIN; NOT FOUND; 16 MG COM CT 2 BL AL PLAS INC X 15; APS
501601207114412; LABIRIN; LABIRIN; NOT FOUND; 16 MG COM CT 3 BL AL PLAS INC X 20; APS
501601206118317; LABIRIN; LABIRIN; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 60; APS
501601205111319; LABIRIN; LABIRIN; NOT FOUND; 24 MG COM CT 2 BL AL PLAS INC X 15; APS
501601202112411; LABIRIN; LABIRIN; NOT FOUND; 8 MG COM CT 2 BL AL PLAS INC X 15; APS
501601208110410; LABIRIN; LABIRIN; NOT FOUND; 8 MG COM CT 3 BL AL PLAS INC X 20; APS
501604102119311; LONIUM; LONIUM; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30 ; APS
501604103115311; LONIUM; LONIUM; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 60; APS
501601601114310; LITOCIT; LITOCIT; NOT FOUND; 10 MEQ COM REV LIB RETARD CT FR PLAS OPC X 60; APS
501601602110319; LITOCIT; LITOCIT; NOT FOUND; 5 MEQ COM REV LIB RETARD CT FR PLAS OPC X 60; APS
501601302117415; LEVOXIN; LEVOXIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 3; APS
501601301110417; LEVOXIN; LEVOXIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 7; APS
501601303113413; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; APS
501601306112418; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; APS
501601304111414; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3 ; APS
501601305116411; LEVOXIN; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; APS
501601501179410; LIDOSPRAY; LIDOSPRAY; NOT FOUND; 10 PCC SOL TOP CT FR VD INC SPRAY X 50 ML; APS
