538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502401132416, EPOCLER, EPOCLER, NOT FOUND, (100 + 50 + 10)MG/ML SOL ORAL 12 FLAC PLAS X 10 ML, HY_
538502402139414, EPOCLER, EPOCLER, NOT FOUND, (100 + 50 + 10)MG/ML SOL ORAL 60 FLAC PLAS X 10 ML, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
538502401132416, EPOCLER, EPOCLER, NOT FOUND, (100 + 50 + 10)MG/ML SOL ORAL 12 FLAC PLAS X 10 ML, HY_
538502402139414, EPOCLER, EPOCLER, NOT FOUND, (100 + 50 + 10)MG/ML SOL ORAL 60 FLAC PLAS X 10 ML, HY_
538501801137417, ESTOMAZIL, ESTOMAZIL, NOT FOUND, (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA), HY_
538502301111417, ENGOV, ENGOV, NOT FOUND, 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150, HY_
