538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538502901135414, DORGIL, DORGIL, NOT FOUND, (300 + 50 + 30) MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, HY_
538503501114116, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, HY_
538503601161418, DAKTAZOL, DAKTAZOL, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 28 G, HY_
538502701160415, DERMIL, DERMIL, NOT FOUND, (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 20 G, HY_
538502702167413, DERMIL, DERMIL, NOT FOUND, (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 45 G, HY_
538502703163411, DERMIL, DERMIL, NOT FOUND, (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 90 G, HY_
538500701112317, DORIL , DORIL, NOT FOUND, 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT), HY_
538502901135414, DORGIL, DORGIL, NOT FOUND, (300 + 50 + 30) MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, HY_
538503501114116, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 50 MG COM REV CT BL AL PLAS INC X 20, HY_
538504301161410, DERMALINA, DERMALINA, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 28 G, HY_
538503601161418, DAKTAZOL, DAKTAZOL, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 28 G, HY_
538504302166416, DERMALINA, DERMALINA, NOT FOUND, 20 MG/G LOC TOP CT FR VD AMB X 30 G, HY_
538504303170417, DERMALINA, DERMALINA, NOT FOUND, 20 MG/G PO TOP CT FR PLAS OPC X 30 G, HY_
538502701160415, DERMIL, DERMIL, NOT FOUND, (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 20 G, HY_
538502702167413, DERMIL, DERMIL, NOT FOUND, (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 45 G, HY_
538502703163411, DERMIL, DERMIL, NOT FOUND, (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 90 G, HY_
