75759; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; CM5
75760; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; CM5
78217; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 100 MG 15 ML x 1 (/ML); CM5
71787; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); CM5
52848; PARASIMED ; PARASIMED; NOT FOUND; EMULS 25 % 60 ML x 1; CM5
52849; PARASIMED ; PARASIMED; NOT FOUND; SABAO 10 % 60 G x 1; CM5
55289; PEDILETAN ; PEDILETAN; NOT FOUND; SUSP.PERMETR 1 % 60 ML x 1; CM5
78570; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; CM5
82085; PLAVOM ; PLAVOM; NOT FOUND; GOTAS 4 MG 10 ML x 1 (/ML); CM5
87498; POWER CALCIO ; POWER CALCIO; NOT FOUND; CAPS D 500 MG x 60; CM5
111586; POWER VITA ; POWER VITA; NOT FOUND; CPR NUT CAPI x 30; CM5
111582; POWER VITA ; POWER VITA; NOT FOUND; CPR SENIOR x 60; CM5
144369; POWER VITA ; POWER VITA; NOT FOUND; DRAG ESP COP x 70; CM5
87502; POWER VITA ; POWER VITA; NOT FOUND; DRAG KIDS x 60; CM5
87501; POWER VITA ; POWER VITA; NOT FOUND; DRAG MULHER x 60; CM5
103507; POWER VITA ; POWER VITA; NOT FOUND; DRAG MULHER x 70; CM5
154326; POWER VITA ; POWER VITA; NOT FOUND; DRAG SPORT x 60; CM5
87500; POWER VITA ; POWER VITA; NOT FOUND; DRAG x 60; CM5
103506; POWER VITA ; POWER VITA; NOT FOUND; DRAG x 70; CM5
128844; POWER VITA ; POWER VITA; NOT FOUND; GOTAS 10 ML x 1; CM5
55520; PROBENXIL ; PROBENXIL; NOT FOUND; CPR 50 MG x 20; CM5
50505; PROBENXIL ; PROBENXIL; NOT FOUND; DRAG 50 MG x 10; CM5
74189; PROBENXIL ; PROBENXIL; NOT FOUND; DRAG 50 MG x 1000; CM5
97432; PROBENXIL ; PROBENXIL; NOT FOUND; DRAG 50 MG x 500; CM5
59766; PROBENXIL ; PROBENXIL; NOT FOUND; GOTAS 20 ML x 1; CM5
59765; PROBENXIL GEL ; PROBENXIL GEL; NOT FOUND; EMULGEL 60 G x 1; CM5
61407; PROPRAMED ; PROPRAMED; NOT FOUND; CPR 40 MG x 40; CM5
