78524; LASENE ; LASENE; NOT FOUND; CPR REVEST 29 MG x 100; CM5
75943; LASENE ; LASENE; NOT FOUND; CPR REVEST 29 MG x 20; CM5
113370; LAVITAN ; LAVITAN; NOT FOUND; CAPS HAIR x 30; CM5
95184; LAVITAN ; LAVITAN; NOT FOUND; DRAG MULHER x 60; CM5
109722; LAVITAN ; LAVITAN; NOT FOUND; DRAG SENIOR x 60; CM5
159000; LAVITAN ; LAVITAN; NOT FOUND; DRAG SPORT x 60; CM5
55640; LAVITAN ; LAVITAN; NOT FOUND; DRAG STRESS x 30; CM5
52893; LAVITAN ; LAVITAN; NOT FOUND; DRAG STRESS x 50; CM5
95188; LAVITAN ; LAVITAN; NOT FOUND; DRAG x 60; CM5
164447; LAVITAN ; LAVITAN; NOT FOUND; KLM60+30OME3 x 90; CM5
164448; LAVITAN ; LAVITAN; NOT FOUND; KLS60+30OME3 x 90; CM5
161178; LAVITAN A-Z MAIS ; LAVITAN A Z MAIS; NOT FOUND; DRAG x 90; CM5
163248; LAVITAN BEAUTY ; LAVITAN BEAUTY; NOT FOUND; CAPS x 30; CM5
100101; LAVITAN CALCIO+D ; LAVITAN CALCIO D; NOT FOUND; CPR x 60; CM5
99486; LAVITAN KIDS ; LAVITAN KIDS; NOT FOUND; LIQ LARANJA 120 ML x 1; CM5
100103; LAVITAN OMEGA 3 ; LAVITAN OMEGA 3; NOT FOUND; CAP GELATIN x 60; CM5
134974; LAVITAN VIT D ; LAVITAN VIT D; NOT FOUND; GOTAS LIMAO 10 ML x 1; CM5
109651; LEITE MAGNESIA CIM ; LEITE MAGNESIA CIM; NOT FOUND; LIQD MENTA 240 ML x 1; CM5
112495; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 10; CM5
112496; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; CM5
78445; LINOBIO ; LINOBIO; NOT FOUND; CAPS x 120; CM5
133603; LIPONUT ; LIPONUT; NOT FOUND; CAPS OL COCO 1000 MG x 60; CM5
69116; LORATADINA MG ; LORATADINA; LORATADINA; XAROPE 1 MG 100 ML x 1 (/ML); CM5
59599; LORATAMED ; LORATAMED; NOT FOUND; CPR 10 MG x 12; CM5
55642; LORATAMED ; LORATAMED; NOT FOUND; XAROPE 5 MG 100 ML x 1 (/5ML); CM5
