2954, DARAPRIM , DARAPRIM, NOT FOUND, CPR 25 MG x 100, FQM
77271, DENSITIUM , DENSITIUM, NOT FOUND, CREME A/I 50 ML x 1, FQM
77270, DENSITIUM , DENSITIUM, NOT FOUND, CREME YEUX 15 ML x 1, FQM
42263, DEQUADIN , DEQUADIN, NOT FOUND, DISCOS LARAN 0.25 MG x 20, FQM
42262, DEQUADIN , DEQUADIN, NOT FOUND, DISCOS LIMAO 0.25 MG x 20, FQM
3097, DEQUADIN , DEQUADIN, NOT FOUND, DISCOS MENTA 0.25 MG x 20, FQM
88923, DERMOVANCE , DERMOVANCE, NOT FOUND, CREME PES 100 G x 1, FQM
88912, DERMOVANCE , DERMOVANCE, NOT FOUND, LOC P NORMAL 200 ML x 1, FQM
88927, DERMOVANCE , DERMOVANCE, NOT FOUND, LOC S P SECA 200 ML x 1, FQM
66610, DIMEFOR , DIMEFOR, NOT FOUND, CPR 500 MG x 30, FQM
51543, DIMEFOR , DIMEFOR, NOT FOUND, CPR 850 MG x 30, FQM
52973, DOLAMIN , DOLAMIN, NOT FOUND, AMP. 200 MG 4 ML x 6, FQM
51544, DOLAMIN , DOLAMIN, NOT FOUND, CPR REVEST 125 MG x 16, FQM
69550, DOLAMIN FLEX , DOLAMIN FLEX, NOT FOUND, CPR REVEST x 15, FQM
3613, DRAPOLENE , DRAPOLENE, NOT FOUND, CREME 40 G x 1, FQM
