1728700370048; LACTO PURGA; LACTO PURGA; NOT FOUND; 5 MG COM REV DISP BL AL PLAS INC X 150 (EMB MULT); HY_
1728703260022; LEZEPAN; LEZEPAN; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; HY_
1728703260014; LEZEPAN; LEZEPAN; NOT FOUND; 3 MG COM CT BL AL PLAS INC X 20; HY_
1728703630032; LIPNEO; LIPNEO; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; HY_
1728704010054; LEVONORGESTREL; LEVONORGESTREL; LEVONORGESTREL; 1.5 MG COM CT BL AL PLAS INC X 1; HY_
1728704780038; LORATADINA; LORATADINA; LORATADINA; 10 MG COM CT BL AL PLAS INC X 12; HY_
1728700080015; LICOR DE CACAU XAVIER; LICOR CACAU XAVIER; NOT FOUND; 20MG/ML SUSP OR CT FR VD AMB X 30 ML; HY_
1728700080031; LICOR DE CACAU XAVIER; LICOR CACAU XAVIER; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; HY_
1728700080023; LICOR DE CACAU XAVIER; LICOR CACAU XAVIER; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 1 ; HY_
1728703290010; LOXAM; LOXAM; NOT FOUND; 7.5 MG COM CT BL AL PLAS INC X 10; HY_
1728703290037; LOXAM; LOXAM; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 10; HY_
