1728703850016; DIGESPRID; DIGESPRID; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; HY_
1728703850040; DIGESPRID; DIGESPRID; NOT FOUND; 4 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); HY_
1728703850083; DIGESPRID; DIGESPRID; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 20; HY_
1728703850105; DIGESPRID; DIGESPRID; NOT FOUND; 10 MG CAP GEL DURA CX BL AL PLAS INC X 500 (EMB HOSP); HY_
1728700300015; DORGIL; DORGIL; NOT FOUND; (300 + 50 + 30) MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; HY_
1728701050012; DORONA CAFI; DORONA CAFI; NOT FOUND; 500 MG+65 MG COM CT BL AL PLAS LAR X 16; HY_
1728701050039; DORONA CAFI; DORONA CAFI; NOT FOUND; 500 MG+65 MG COM CT BL AL PLAS LAR X 100; HY_
1728700260031; DORIL; DORIL; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS INC X 150 (EMB MULT); HY_
1728701840021; DORALGINA; DORALGINA; NOT FOUND; 50 MG/ML + 300 MG/ML + 30 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML ; HY_
1728701840013; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG CT BL AL PLAS INC X 20 ; HY_
1728701840031; DORALGINA; DORALGINA; NOT FOUND; 30 MG + 300 MG + 30 MG DRG DISP BL AL PLAS INC X 100 (EMB MULT); HY_
1728702960012; DORCAÍNA; DORCAINA; NOT FOUND; 5 MG/ML SOL INJ CT 6 FA VD INC X 20 ML; HY_
1728700090045; DERMIL; DERMIL; NOT FOUND; (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 20 G; HY_
1728700090053; DERMIL; DERMIL; NOT FOUND; (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 45 G; HY_
1728700090061; DERMIL; DERMIL; NOT FOUND; (5000 UI + 900 UI + 150 MG)G POM DERM CT BG PLAS X 90 G; HY_
1728701100028; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; HY_
1728704680017; DRAMAVIT; DRAMAVIT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 400 (EMB.HOSP); HY_
1046501850086; DAKTAZOL; DAKTAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 28 G; HY_
1728703550012; DAKTAZOL; DAKTAZOL; NOT FOUND; 20 MG/ML LOC CT FR PLAS OPC X 30 ML; HY_
1728700210016; DERMALINA; DERMALINA; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 28 G; HY_
1728700210032; DERMALINA; DERMALINA; NOT FOUND; 20 MG/G LOC TOP CT FR VD AMB X 30 G; HY_
1728700210024; DERMALINA; DERMALINA; NOT FOUND; 20 MG/G PO TOP CT FR PLAS OPC X 30 G; HY_
