1728700400028; TIRATOSSE; TIRATOSSE; NOT FOUND; (0.332 + 6.66 + 6.66 + 6.66) MG/ML XPE CT FR VD AMB X 120 ML; HY_
1728700400036; TIRATOSSE; TIRATOSSE; NOT FOUND; (0.165 + 5.00 + 5.00 + 2.00) MG/ML XPE CT FR VD AMB X 120 ML; HY_
1728701740027; TENSALIV; TENSALIV; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20; HY_
1728701740019; TENSALIV; TENSALIV; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20; HY_
1728701740051; TENSALIV; TENSALIV; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 30; HY_
1728701740078; TENSALIV; TENSALIV; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; HY_
1728703280031; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 500 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; HY_
1728703280090; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; HY_
1728703280279; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED; HY_
1728703280155; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 1G COM CT BL AL PLAS INC X 10; HY_
1728703280171; TERMOPIRONA; TERMOPIRONA; NOT FOUND; 1G COM DISP BL AL PLAS INC X 100; HY_
1728700780130; TOPLIV; TOPLIV; NOT FOUND; 1 MG/G CREME CT BG AL X 20 G; HY_
