1728702870013; CALAMYN; CALAMYN; NOT FOUND; 80 MG/ML + 10 MG/ML + 1 MG/ML LOC CT FR PLAS OPC X 120 ML; HY_
1728703830015; CEFANID; CEFANID; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 8; HY_
1728703800043; CETONEO; CETONEO; NOT FOUND; 20 MG/ML XAMP CT FR PLAS OPC X 100 ML; HY_
1728703800035; CETONEO; CETONEO; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; HY_
1728703800061; CETONEO; CETONEO; NOT FOUND; 20 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); HY_
1728703800019; CETONEO; CETONEO; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; HY_
1728703180037; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS INC X 30; HY_
1728703990101; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 4; HY_
1728703990179; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS INC X 4; HY_
1728703990039; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS INC X 4; HY_
1728703990081; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 1; HY_
1728703990098; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 2; HY_
1728703990111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 8; HY_
1728703930011; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML; HY_
1728700540059; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR PLAS AMB X 120 ML; HY_
1728700540016; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR PLAS AMB X 120 ML; HY_
1728700840011; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10; HY_
1728701060069; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 10MG/5ML SOL ORAL CX FR PET AMB X 120ML+COPO MEDIDA; HY_
1728700390081; CURATIV; CURATIV; NOT FOUND; 10 MG/ML SOL TOP AQUOSA CT FR VD AMB X 30 ML; HY_
