1728700220011; BISUISAN; BISUISAN; NOT FOUND; PO OR CT FR PLAS OPC X 50 G; HY_
1728700220038; BISUISAN; BISUISAN; NOT FOUND; PO OR CT 12 ENV AL POLIET X 5.5 G; HY_
1728700220046; BISUISAN; BISUISAN; NOT FOUND; PO OR CT 25 ENV AL POLIET X 5.5 G; HY_
1728700620011; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; HY_
1728700620028; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; HY_
1728700620151; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; HY_
1728700620168; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; HY_
1728703440020; BROMIFEN; BROMIFEN; NOT FOUND; 5 MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CONTA GOTAS (EMB HOSP); HY_
1728700770011; BONTOSS; BONTOSS; NOT FOUND; 1.6 MG/ML XPE CT FR PLAS AMB X 120 ML; HY_
1728700770054; BONTOSS; BONTOSS; NOT FOUND; 0.8 MG/ML XPE CT FR PLAS AMB X 120 ML; HY_
1728703890018; BACTRONEO; BACTRONEO; NOT FOUND; 20 MG/G POM DERM CT BG AL X 15 G; HY_
