1728700340033; ADNAX; ADNAX; NOT FOUND; 1 MG/ML + 0.5 MG/ML ADU SOL NAS CT FR VD AMB CGT X 20 ML; HY_
1728700350071; ATROVERAN COMPOSTO; ATROVERAN COMPOSTO; NOT FOUND; 0.010 G/ML SOL OR CT FR VD AMB CGT X 30 ML ; HY_
1728700350047; ATROVERAN COMPOSTO; ATROVERAN COMPOSTO; NOT FOUND; 30 MG COM DISP STR X 150 (EMB MULT); HY_
1728700020020; APRACUR; APRACUR; NOT FOUND; 1 MG + 100 MG + 50 MG COM REV DISP ENV AL X 150 (EMB MULT) ; HY_
1728704790051; ALIVIUM; ALIVIUM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; HY_
1728704790017; ALIVIUM; ALIVIUM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; HY_
1728704790270; ALIVIUM; ALIVIUM; NOT FOUND; 30 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS ; HY_
1728704790238; ALIVIUM; ALIVIUM; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; HY_
1728704790221; ALIVIUM; ALIVIUM; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; HY_
1728704790181; ALIVIUM; ALIVIUM; NOT FOUND; 600 MG COM REV BL AL PLAS INC X 4; HY_
1728704790191; ALIVIUM; ALIVIUM; NOT FOUND; 600 MG COM REV CT BL AL PLAS INC X 10; HY_
1728704790130; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV BL AL PLAS INC X 4; HY_
1728704790165; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 4; HY_
1728704790149; ALIVIUM; ALIVIUM; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 10; HY_
1728705280020; ALIVIUM; ALIVIUM; NOT FOUND; 600 MG CAP GEL MOLE CT BL PVC/PVDC/AL X 10; HY_
1728700150013; ANAPYON; ANAPYON; NOT FOUND; 0.02 MG/ML + 0.77 ML/ML SOL TOP FR PLAS OPC X 100; HY_
