1728705150062; MIGRAINEX; MIGRAINEX; NOT FOUND; 250 MG + 250 MG + 65 MG COM REV CT BL AL AL X 4; HY_
1728705150038; MIGRAINEX; MIGRAINEX; NOT FOUND; 250 MG + 250 MG + 65 MG COM REV CT BL AL AL X 20; HY_
1728700420029; MELHORAL; MELHORAL; NOT FOUND; (500 + 30) MG COM DISP BL AL PLAS INC X 200 (EMB MULT) ; HY_
1728700420037; MELHORAL; MELHORAL; NOT FOUND; 85 MG COM CT STRIP X 200 (EMB MULT); HY_
1728700250018; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR PLAS OPC X 30 ML; HY_
1728700250034; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR VD AMB X 30 ML; HY_
1728700250026; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO FR PLAS OPC SPRAY X 45 ML; HY_
1728702970018; MIODARID; MIODARID; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 20; HY_
1728702970042; MIODARID; MIODARID; NOT FOUND; 200 MG COM REV CT BL AL PLAS TRANS X 30; HY_
1728703740067; MASSAGEOL; MASSAGEOL; NOT FOUND; SOL PROP AER TB AL X 120 ML; HY_
1728703740016; MASSAGEOL; MASSAGEOL; NOT FOUND; POM DERM CT BG AL X 30 G; HY_
1728703740059; MASSAGEOL; MASSAGEOL; NOT FOUND; POM DERM CT BG AL X 15 G; HY_
1728700170049; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; HY_
1728700170030; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC X 10 ML; HY_
1728700170014; MIRADOR; MIRADOR; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 12; HY_
1728700170022; MIRADOR; MIRADOR; NOT FOUND; 500 MG COM DISP BL AL PLAS INC X 150 (EMB MULT); HY_
1728703670034; MALEATO DE DEXCLORFENIRAMINA + SULFATO DE PSEUDOEFEDRINA + GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML + 4 MG/ML + 20 MG/ML SOL OR CT FR PLAS AMB X 120 ML; HY_
1728704180030; MESALAZINA; MESALAZINA; MESALAZINA; 400 MG COM REV BL AL PLAS INC X 30; HY_
1728704120097; MESALAZINA; MESALAZINA; MESALAZINA; 800MG CPRV CT BL AL PVDC INC X 30; HY_
1728704200090; MESANEO; MESANEO; NOT FOUND; 800MG COM REV BL AL PLAS INC X 30; HY_
1728700830014; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GELE VAG CT BG AL X 55 G + 10 APLIC; HY_
