49927, TRIATOP , TRIATOP, NOT FOUND, XAM.NORM.OLE 2 % 120 ML x 1, J_J
51445, TRIATOP , TRIATOP, NOT FOUND, XAM.NORM.SEC 120 ML x 1, J_J
56980, TYLENOL , TYLENOL, NOT FOUND, CPR MASC x 12 (INF), J_J
48375, TYLENOL , TYLENOL, NOT FOUND, CPR 750 MG x 20, J_J
48376, TYLENOL , TYLENOL, NOT FOUND, CPR 750 MG x 200, J_J
89066, TYLENOL , TYLENOL, NOT FOUND, CPR EX PODER 500 MG x 100, J_J
89067, TYLENOL , TYLENOL, NOT FOUND, CPR EX PODER 500 MG x 20, J_J
31143, TYLENOL , TYLENOL, NOT FOUND, CPR EXTRA 500 MG x 200, J_J
75963, TYLENOL , TYLENOL, NOT FOUND, CPR REVES.AP 650 MG x 200, J_J
58893, TYLENOL , TYLENOL, NOT FOUND, CPR REVES.AP 650 MG x 24, J_J
46883, TYLENOL , TYLENOL, NOT FOUND, GOTAS INF 200 MG 15 ML x 1 (/ML), J_J
54942, TYLENOL , TYLENOL, NOT FOUND, GTS BEBE FRU 100 MG 15 ML x 1 (/ML), J_J
54565, TYLENOL , TYLENOL, NOT FOUND, SUSP CRIANCA 160 MG 60 ML x 1 (/5ML), J_J
61770, TYLENOL DC , TYLENOL DC, NOT FOUND, CPR REVEST x 100, J_J
61769, TYLENOL DC , TYLENOL DC, NOT FOUND, CPR REVEST x 20, J_J
66574, TYLENOL SINUS , TYLENOL SINUS, NOT FOUND, CPR REVEST x 24, J_J
