67681, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, BNK
67680, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, BNK
48843, PASSANEURO , PASSANEURO, NOT FOUND, DRAG x 20, BNK
8095, PASSANEURO , PASSANEURO, NOT FOUND, LIQD 100 ML x 1, BNK
63222, PENTRAL , PENTRAL, NOT FOUND, CPR 400 MG x 10, BNK
67491, PIODREX , PIODREX, NOT FOUND, SABAO 1 % 100 G x 1, BNK
47942, PIODREX , PIODREX, NOT FOUND, XAMP 1 % 60 ML x 1, BNK
47943, PIODREX , PIODREX, NOT FOUND, XAMP 5 % 60 ML x 1, BNK
33109, PLAMIVON , PLAMIVON, NOT FOUND, CPR x 100, BNK
42354, PLAMIVON , PLAMIVON, NOT FOUND, CPR x 12, BNK
33110, PLAMIVON , PLAMIVON, NOT FOUND, GOTAS 10 ML x 1, BNK
50553, PROPACOR , PROPACOR, NOT FOUND, CPR 40 MG x 20, BNK
50554, PROPACOR , PROPACOR, NOT FOUND, CPR 80 MG x 20, BNK
