54204, GASTROFLAT , GASTROFLAT, NOT FOUND, CPR 40 MG x 20, BNK
54205, GASTROFLAT , GASTROFLAT, NOT FOUND, GOTAS 75 MG 10 ML x 1 (/ML), BNK
64242, GASTROFLAT MAX , GASTROFLAT MAX, NOT FOUND, CAPS GELATIN 125 MG x 10, BNK
33072, GELFLEX , GELFLEX, NOT FOUND, POM. 45 G x 1, BNK
33075, GEROTREX H-3 , GEROTREX H 3, NOT FOUND, DRAG x 30, BNK
43895, GEROTREX H-3 , GEROTREX H 3, NOT FOUND, DRAG x 50, BNK
58006, GINBILOBA , GINBILOBA, NOT FOUND, CPR REVEST 40 MG x 30, BNK
58007, GINBILOBA , GINBILOBA, NOT FOUND, CPR REVEST 80 MG x 20, BNK
52900, GINOTARIN , GINOTARIN, NOT FOUND, CREME 2 % 28 G x 1, BNK
52901, GINOTARIN , GINOTARIN, NOT FOUND, LOC. 2 % 30 ML x 1, BNK
60335, GINOTARIN , GINOTARIN, NOT FOUND, PO 2 % 30 G x 1, BNK
71271, GINOTARIN CREME , GINOTARIN CREME, NOT FOUND, CREME VAG. 20 MG 50 G x 1 (/G), BNK
76351, GLIMEPRIDA , GLIMEPRIDA, NOT FOUND, CPR 1 MG x 30, BNK
76352, GLIMEPRIDA , GLIMEPRIDA, NOT FOUND, CPR 2 MG x 30, BNK
76353, GLIMEPRIDA , GLIMEPRIDA, NOT FOUND, CPR 4 MG x 30, BNK
45431, GOTAS DIGESTIVAS , GOTAS DIGESTIVAS, NOT FOUND, GOTAS 20 ML x 1, BNK
