69446, BACTOCIN , BACTOCIN, NOT FOUND, CREME DERMAT 20 MG 15 G x 1 (/G), BNK
48734, BEDOZIL , BEDOZIL, NOT FOUND, A.IM 1 MG 2 ML x 10, BNK
48735, BEDOZIL , BEDOZIL, NOT FOUND, A.IM 1 MG 2 ML x 50, BNK
48736, BEDOZIL , BEDOZIL, NOT FOUND, A.IM 5 MG 2 ML x 10, BNK
48737, BEDOZIL , BEDOZIL, NOT FOUND, A.IM 5 MG 2 ML x 50, BNK
42765, BIOFRUCTOSE , BIOFRUCTOSE, NOT FOUND, AMP. 10 ML x 100, BNK
43782, BIOFRUCTOSE , BIOFRUCTOSE, NOT FOUND, AMP. 10 ML x 3, BNK
43783, BIOFRUCTOSE , BIOFRUCTOSE, NOT FOUND, AMP. 20 ML x 3, BNK
42766, BIOFRUCTOSE , BIOFRUCTOSE, NOT FOUND, AMP. 20 ML x 50, BNK
60326, BUSCOVERAN COMPOS. , BUSCOVERAN COMPOS, NOT FOUND, DRAG x 20, BNK
57326, BUSCOVERAN COMPOS. , BUSCOVERAN COMPOS, NOT FOUND, GOTAS 20 ML x 1, BNK
