525305101134112; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NQA
525305103137119; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; NQA
525305102130110; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ; NQA
525305104133117; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED; NQA
525312080037206; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL AL X 12; NQA
525312080037306; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT BL AL AL X 24; NQA
525300101111111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS TRANS X 10; NQA
525300102116117; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS TRANS X 25; NQA
525300103163119; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; NQA
525305201139116; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML + CP MED; NQA
525309101112111; ALENDRONATO DE SÓDIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 10; NQA
525307901111113; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20 ; NQA
525307902118111; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 20 ; NQA
525307905117116; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; NQA
