525307001110110, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 10, NQA
525307002117119, DEFLAZACORTE, DEFLAZACORTE, DEFLAZACORTE, 6 MG COM CT BL AL PLAS LEIT X 20, NQA
525308502131119, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR VD AMB X 100 ML + SER DOS, NQA
525308503136114, DESLORATADINA, DESLORATADINA, DESLORATADINA, 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOS, NQA
525308501117112, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 10, NQA
525312050035106, DESLORATADINA, DESLORATADINA, DESLORATADINA, 5 MG COM REV CT BL AL PLAS OPC X 30, NQA
525305901130111, DICLOFENACO RESINATO, DICLOFENACO RESINATO, NOT FOUND, 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML, NQA
525301806117119, DICLOFENACO SÓDICO, DICLOFENACO SODICO, DICLOFENACO SODICO, 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10, NQA
525314050042506, DICLORIDRATO DE PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, 0.125 MG COM CT BL AL AL X 30 , NQA
525314050042606, DICLORIDRATO DE PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, 0.25 MG COM CT BL AL AL X 30 , NQA
525314050042706, DICLORIDRATO DE PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, 1 MG COM CT BL AL AL X 30, NQA
525306001117117, DIMETICONA, DIMETICONA, DIMETICONA, 40 MG COM CT BL AL PLAS INC X 20, NQA
525306002131113, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML, NQA
525307101115114, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP), NQA
525307102138118, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, NQA
525307103134116, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, NQA
525309601115111, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS OPC X 30, NQA
525309602111118, DOMPERIDONA, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS OPC X 60, NQA
525312080036606, DROSPIRENONA+ETINILESTRADIOL, DROSPIRENONA ETINILESTRADIOL, NOT FOUND, 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21, NQA
