525314060043003, TORVILIP, TORVILIP, NOT FOUND, 10MG COM REV CT BL AL AL X 30, NQA
525314060043103, TORVILIP, TORVILIP, NOT FOUND, 10MG COM REV CT BL AL AL X 60, NQA
525314060043203, TORVILIP, TORVILIP, NOT FOUND, 20MG COM REV CT BL AL AL X 30, NQA
525314060043303, TORVILIP, TORVILIP, NOT FOUND, 20MG COM REV CT BL AL AL X 60, NQA
525314060043403, TORVILIP, TORVILIP, NOT FOUND, 40MG COM REV CT BL AL AL X 30, NQA
525314060043503, TORVILIP, TORVILIP, NOT FOUND, 40MG COM REV CT BL AL AL X 60, NQA
525312090037406, TELMISARTANA, TELMISARTANA, TELMISARTANA, 40 MG COM CT BL AL AL X 30, NQA
525312090037506, TELMISARTANA, TELMISARTANA, TELMISARTANA, 80 MG COM CT BL AL AL X 30, NQA
525312120037606, TIBOLONA, TIBOLONA, TIBOLONA, 2.5 MG COM CT BL AL PLAS OPC X 30, NQA
525306801164111, TIOCONAZOL + TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC, NQA
525312040034006, TRAVOPROSTA, TRAVOPROSTA, TRAVOPROSTA, 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML , NQA
