525314040040908; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X2; NQA
525314040041008; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X1; NQA
525314040041108; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X2; NQA
525314040041208; VASIFIL; VASIFIL; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X4; NQA
525314040041308; VASIFIL; VASIFIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X4 ; NQA
525314050042103; VASIFIL; VASIFIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X4; NQA
525307401161111; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G CREM DERM CT BG AL X 20 G; NQA
525307501164112; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10.0 MG/G + 10.0 MG/G POM DERM CT BG AL X 20 G; NQA
525314060042806; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
525312040034106; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
525312040034206; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
525312040034506; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; NQA
525312040034606; VALSARTANA+HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; NQA
525309702116111; VALSARTANA; VALSARTANA; VALSARTANA; 160 MG COM REV. CT BL AL/AL X 30; NQA
525309703112111; VALSARTANA; VALSARTANA; VALSARTANA; 320 MG COM REV. CT BL AL/AL X 30; NQA
525309701111116; VALSARTANA; VALSARTANA; VALSARTANA; 80 MG COM REV. CT BL AL/AL X 30; NQA
