519007501113419, NAPRONAX, NAPRONAX, NOT FOUND, CP 550MG (CX C/1 BL C/10), N_Q
519023803110112, NAPROXENO SÓDICO, NAPROXENO SODICO, NAPROXENO SODICO, 550 MG COM REV CT BL AL PLAS INC X 10, N_Q
519023801118116, NAPROXENO SÓDICO, NAPROXENO SODICO, NAPROXENO SODICO, 550 MG COM REV CT BL AL PLAS INC X 20, N_Q
519007601177419, NASOFELIN, NASOFELIN, NOT FOUND, SOL.NASAL 0.5MG/ML INF (FR C/10ML), N_Q
519007602173417, NASOFELIN, NASOFELIN, NOT FOUND, SOL.NASAL 1MG/ML AD (FR C/10ML), N_Q
519018401115415, NAVOTRAX, NAVOTRAX, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 20, N_Q
519018404114411, NAVOTRAX, NAVOTRAX, NOT FOUND, 0.5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), N_Q
519018402111413, NAVOTRAX, NAVOTRAX, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 20, N_Q
519018403118411, NAVOTRAX, NAVOTRAX, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), N_Q
519007802113418, NEO AMITRIPTILIN, NEO AMITRIPTILIN, NOT FOUND, 25 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP), N_Q
519007801117411, NEO AMITRIPTILIN, NEO AMITRIPTILIN, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 20 , N_Q
519007901111413, NEO AMPICILIN, NEO AMPICILIN, NOT FOUND, CAP 500MG (CX C/1 BL C/10), N_Q
519007902134417, NEO AMPICILIN, NEO AMPICILIN, NOT FOUND, PO P/SUS 250MG (VD C/60ML), N_Q
519008001114414, NEO BENDAZOL, NEO BENDAZOL, NOT FOUND, CP 200MG (CX C/1 BL C/2), N_Q
519008002110412, NEO BENDAZOL, NEO BENDAZOL, NOT FOUND, CP MAST 400MG (CX C/1 BL C/1), N_Q
519008003133416, NEO BENDAZOL, NEO BENDAZOL, NOT FOUND, SUS 400MG (VD AMB C/10ML), N_Q
519008301118415, NEO CEFADRIL, NEO CEFADRIL, NOT FOUND, CAP 500MG (CX C/2 ENV C/4 CAPS), N_Q
519008302130419, NEO CEFADRIL, NEO CEFADRIL, NOT FOUND, PO P/SUS 250MG/5ML (CX C/1 VD C/100ML), N_Q
519008401139414, NEO CEFLEX, NEO CEFLEX, NOT FOUND, PO P/SUS 125MG (VD C/60ML), N_Q
519008402135412, NEO CEFLEX, NEO CEFLEX, NOT FOUND, PO P/SUS 250MG (VD C/60ML), N_Q
519008601162411, NEO CLOTRIMAZYL, NEO CLOTRIMAZYL, NOT FOUND, CREME (BG AL C/50GR), N_Q
519008701116411, NEO DOXICILIN, NEO DOXICILIN, NOT FOUND, 100MG DRG CT BL AL PLAS INC X 15, N_Q
519008901115417, NEO FEDIPINA, NEO FEDIPINA, NOT FOUND, COMP 10MG (CX C/1 BL C/30), N_Q
519008902111415, NEO FEDIPINA, NEO FEDIPINA, NOT FOUND, COMP 20MG (CX C/1 BL C/30), N_Q
519009004176419, NEO FENICOL, NEO FENICOL, NOT FOUND, 4 MG/ML SOL OFT CT FR PLAS OPC GOT X 10 ML, N_Q
519009001177414, NEO FENICOL, NEO FENICOL, NOT FOUND, COL 4MG/ML (FRPL C/8ML), N_Q
519009003110414, NEO FENICOL, NEO FENICOL, NOT FOUND, CP 500MG (CX C/2 BL C/10), N_Q
