113358; IBUFLEX ; IBUFLEX; NOT FOUND; CAPS GEL 400 MG x 40; LG6
102997; IBUFLEX ; IBUFLEX; NOT FOUND; CAPS GEL 400 MG x 8; LG6
84734; IBUFLEX ; IBUFLEX; NOT FOUND; GOTAS 100 MG 30 ML x 1 (/ML); LG6
69163; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; CPR REVEST 200 MG x 20; LG6
77243; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); LG6
76789; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); LG6
93008; INDATRAT ; INDATRAT; NOT FOUND; CPR REV L.S 1.50 MG x 30; LG6
77334; INFLADEX ; INFLADEX; NOT FOUND; CPR REVEST 100 MG x 10; LG6
77335; INFLADEX ; INFLADEX; NOT FOUND; CPR REVEST 100 MG x 20; LG6
53267; INFLALID ; INFLALID; NOT FOUND; CPR 100 MG x 12; LG6
53268; INFLALID ; INFLALID; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); LG6
