1320; BENECTRIN ; BENECTRIN; NOT FOUND; CPR 400 MG x 20 (/80); LG6
49686; BENECTRIN ; BENECTRIN; NOT FOUND; XAR. 240 MG 100 ML x 1 (/5ML); LG6
49687; BENECTRIN BALSAMIC ; BENECTRIN BALSAMIC; NOT FOUND; SUSP 100 ML x 1; LG6
47668; BENECTRIN F ; BENECTRIN F; NOT FOUND; CPR 800 MG x 10 (/160); LG6
46770; BENEGEL TOPICO ; BENEGEL TOPICO; NOT FOUND; POM. 20 G x 1; LG6
48950; BENEVRAN ; BENEVRAN; NOT FOUND; DRAG 50 MG x 10; LG6
48951; BENEVRAN ; BENEVRAN; NOT FOUND; DRAG 50 MG x 20; LG6
48952; BENEVRAN ; BENEVRAN; NOT FOUND; GOTAS 15 MG 10 ML x 1 (/ML); LG6
67938; BENEVRAN ; BENEVRAN; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); LG6
67936; BENEVRAN GEL ; BENEVRAN GEL; NOT FOUND; GEL. 10 MG 60 G x 1 (/G); LG6
68161; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; CPR 0.50 MG x 20; LG6
68162; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; CPR 2 MG x 10; LG6
58815; BETROSPAM ; BETROSPAM; NOT FOUND; A.IM 1 ML x 1; LG6
68406; BEZAFIBRATO MG ; BEZAFIBRATO; BEZAFIBRATO; CPR REVEST 200 MG x 20; LG6
95225; BIALUDEX ; BIALUDEX; NOT FOUND; POM OFTAL 3.50 G x 1; LG6
76102; BIALUDEX ; BIALUDEX; NOT FOUND; SOLN OFTAL 5 ML x 1; LG6
80398; BIANCORT ; BIANCORT; NOT FOUND; SOLN OFTAL 5 ML x 1; LG6
77422; BIMATOPROSTA MG ; BIMATOPROSTA; BIMATOPROSTA; SOLN OFTAL 0.30 MG 3 ML x 1 (/ML); LG6
77423; BIMATOPROSTA MG ; BIMATOPROSTA; BIMATOPROSTA; SOLN OFTAL 0.30 MG 5 ML x 1 (/ML); LG6
1672; BISMU-JET ; BISMU JET; NOT FOUND; LIQD 20 ML x 1; LG6
76104; BONAGRAN ; BONAGRAN; NOT FOUND; CPR 70 MG x 4; LG6
78060; BROM CITALOPRAM MG ; BROM CITALOPRAM; NOT FOUND; CPR REVEST 20 MG x 28; LG6
104606; BROM PINAVERIO MG ; BROM PINAVERIO; BROMETO PINAVERIO; CPR REV 100 MG x 30; LG6
68166; BROM.FENOTEROL MG ; BROM FENOTEROL; NOT FOUND; GOTAS 5 MG 20 ML x 1 (/ML); LG6
76773; BROMETO IPRATRO.MG ; BROMETO IPRATRO; BROMETO IPRATROPIO; SOLN INALT 0.25 MG 20 ML x 1 (; LG6
81216; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; CAPS 10 MG x 20; LG6
68169; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; SOLN ORAL 1 MG 120 ML x 1 (/ML); LG6
69087; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; SOLN ORAL 4 MG 20 ML x 1 (/ML); LG6
68363; BRONCOLEX ; BRONCOLEX; NOT FOUND; XPE ADLT 50 MG 120 ML x 1 (/5ML); LG6
68362; BRONCOLEX ; BRONCOLEX; NOT FOUND; XPE INF. 25 MG 120 ML x 1 (/5ML); LG6
94497; BRONQUITOSS ; BRONQUITOSS; NOT FOUND; XAR. 120 ML x 1; LG6
47883; BRONQUITOSS ; BRONQUITOSS; NOT FOUND; XAR. 120 ML x 1 (ADLT); LG6
47884; BRONQUITOSS ; BRONQUITOSS; NOT FOUND; XAR. INF 60 ML x 1; LG6
77588; BRONXINA ; BRONXINA; NOT FOUND; XAR. AD 8 MG 120 ML x 1 (/5ML); LG6
89995; BUPOGRAN ; BUPOGRAN; NOT FOUND; CPR REV A P 150 MG x 30; LG6
89998; BUPOGRAN ; BUPOGRAN; NOT FOUND; CPR REV A P 150 MG x 60; LG6
71637; BUTILB ES+D SOD MG ; BUTILB ES D SOD; NOT FOUND; GOTAS 20 ML x 1; LG6
68170; BUTILB ESCOPOLA MG ; BUTILB ESCOPOLA; BUTILBROMETO ESCOPOLAMINA; GOTAS 10 MG 20 ML x 1 (/ML); LG6
