53868, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 0.90 % 10 ML x 1, EQX
56917, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 0.90 % 10 ML x 200, EQX
72132, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 0.90 % 250 ML x 48, EQX
53870, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 10 % 10 ML x 1, EQX
53875, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 20 % 10 ML x 1, EQX
56918, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, A.IV 20 % 10 ML x 200, EQX
79793, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, S INJ IV S/F 0.90 % 50 ML x 70, EQX
74743, SOL CLORETO SODIO , SOL CLORETO SODIO, NOT FOUND, SOLN INJ S/F 0.90 % 250 ML x 40, EQX
53888, SOL GLICERINA , SOL GLICERINA, NOT FOUND, SOLN 12 % 250 ML x 1, EQX
53889, SOL GLICERINA , SOL GLICERINA, NOT FOUND, SOLN 12 % 500 ML x 1, EQX
53877, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 25 % 10 ML x 1, EQX
56919, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 25 % 10 ML x 200, EQX
53879, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 50 % 10 ML x 1, EQX
56920, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 50 % 10 ML x 200, EQX
53881, SOL GLICOSE , SOL GLICOSE, NOT FOUND, AMP. 75 % 10 ML x 1, EQX
74565, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ S/F 5 % 100 ML x 70, EQX
74568, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ S/F 5 % 1000 ML x 12, EQX
74566, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ S/F 5 % 250 ML x 40, EQX
74567, SOL GLICOSE , SOL GLICOSE, NOT FOUND, SOLN INJ S/F 5 % 500 ML x 24, EQX
75836, SOL RINGER , SOL RINGER, NOT FOUND, SOL INJ S/F 500 ML x 24, EQX
53885, SOL RINGER , SOL RINGER, NOT FOUND, SOLN INJ. 250 ML x 1, EQX
53886, SOL RINGER , SOL RINGER, NOT FOUND, SOLN INJ. 500 ML x 1, EQX
53882, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ. 250 ML x 1, EQX
53883, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ. 500 ML x 1, EQX
56922, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ. 500 ML x 24, EQX
74578, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ S/F 1000 ML x 12, EQX
74576, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ S/F 250 ML x 40, EQX
74577, SOL RINGER LACTATO , SOL RINGER LACTATO, NOT FOUND, SOLN INJ S/F 500 ML x 24, EQX
75322, SORO FISIOLOGICO , SORO FISIOLOGICO, NOT FOUND, S INJ S/F BO 0.90 % 100 ML x 70, EQX
53550, SORO FISIOLOGICO , SORO FISIOLOGICO, NOT FOUND, SOLN INJ. 0.90 % 1000 ML x 1, EQX
53548, SORO FISIOLOGICO , SORO FISIOLOGICO, NOT FOUND, SOLN INJ. 0.90 % 125 ML x 1, EQX
53893, SORO FISIOLOGICO , SORO FISIOLOGICO, NOT FOUND, SOLN INJ. 0.90 % 500 ML x 1, EQX
75876, SORO FISIOLOGICO , SORO FISIOLOGICO, NOT FOUND, SOLN INJ S/F 0.90 % 1000 ML x 12, EQX
74606, SORO FISIOLOGICO , SORO FISIOLOGICO, NOT FOUND, SOLN INJ S/F 0.90 % 500 ML x 24, EQX
56963, SORO GLICO FISIOLO , SORO GLICO FISIOLO, NOT FOUND, SOLN INJ. 0.90 % 250 ML x 48, EQX
53901, SORO GLICO FISIOLO , SORO GLICO FISIOLO, NOT FOUND, SOLN INJ. 500 ML x 1, EQX
76343, SORO GLICO FISIOLO , SORO GLICO FISIOLO, NOT FOUND, SOLN INJ S/F 1000 ML x 12, EQX
76342, SORO GLICO FISIOLO , SORO GLICO FISIOLO, NOT FOUND, SOLN INJ S/F 250 ML x 40, EQX
76340, SORO GLICO FISIOLO , SORO GLICO FISIOLO, NOT FOUND, SOLN INJ S/F 500 ML x 24, EQX
53897, SORO GLICOSADO , SORO GLICOSADO, NOT FOUND, SOLN INJ. 10 % 500 ML x 1, EQX
56959, SORO GLICOSADO , SORO GLICOSADO, NOT FOUND, SOLN INJ. 5 % 1000 ML x 12, EQX
53551, SORO GLICOSADO , SORO GLICOSADO, NOT FOUND, SOLN INJ. 5 % 125 ML x 1, EQX
53552, SORO GLICOSADO , SORO GLICOSADO, NOT FOUND, SOLN INJ. 5 % 250 ML x 1, EQX
53553, SORO GLICOSADO , SORO GLICOSADO, NOT FOUND, SOLN INJ. 5 % 500 ML x 1, EQX
