538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538805101119418, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 15, LG6
538805101119418, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 15, LG6
538805104118412, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 30, LG6
538805102115416, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 15, LG6
538805103111414, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 30, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538811301116417, MELOXIGRAN, MELOXIGRAN, NOT FOUND, 15 MG COM CT BL AL PLAS OPC X 10, LG6
538810001119110, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, LG6
538818002114411, MONOZOL, MONOZOL, NOT FOUND, 400 MG COM MAST CT BL AL PVDC BRANCO LEITOSO X 1, LG6
538818001134417, MONOZOL, MONOZOL, NOT FOUND, 80 MG/ML SUS OR CT FR VD AMB X 15 ML, LG6
538817101119411, MIGRANETTE, MIGRANETTE, NOT FOUND, 300 MG + 30 MG + 30 MG DRG CT BL AL PLAS INC X 20, LG6
538805101119418, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 15, LG6
538805104118412, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 30, LG6
538805102115416, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 15, LG6
538805103111414, MIOFIBRAX, MIOFIBRAX, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 30, LG6
538816101115116, MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA, MALEATO ENALAPRIL HIDROCLOROTIAZIDA, NOT FOUND, 20 MG + 12.5 MG COM CT BL AL AL X 30, LG6
