538809502169117; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1.0 MG/G + 10 MG/G + 10 MG/G POM DERM CT BG AL X 20 G; LG6
538809501162119; VALERATO DE BETAMETASONA + SULFATO DE GENTAMICINA + TOLNAFTATO + CLIOQUINOL; VALERATO BETAMETASONA SULFATO GENTAMICINA TOLNAFTATO CLIOQUINOL; NOT FOUND; 0.5 MG/G + 1 MG/G + 10 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; LG6
538814120050406; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
538812060041604; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
538812050040806; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
538812050040906; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; LG6
538812060041504; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 80 MG + 12.5 COM REV CL BL AL AL X 30; LG6
538812050041006; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; LG6
538812050041106; VALSARTANA + HIDROCLOROTIAZIDA; VALSARTANA HIDROCLOROTIAZIDA; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; LG6
538812060041704; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; LG6
538812060041804; VALSACOR HCT; VALSACOR HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; LG6
538820001138414; VITÔNICO; VITONICO; NOT FOUND; SOL OR CT FR PLAS INC X 500 ML; LG6
538810701161111; VALERATO DE BETAMETASONA; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G CREM DERM CT BG AL X 30 G; LG6
538806001169411; VERUDERM B; VERUDERM B; NOT FOUND; 20 MG/G + 1 MG/G CREM DERM CT BG AL X 15 G; LG6
538806701111114; VALSARTANA; VALSARTANA; VALSARTANA; 160 MG COM REV CT BL AL AL X 30; LG6
538807102112413; VALSACOR; VALSACOR; NOT FOUND; 160 MG COM REV CT BL AL/AL X 30; LG6
538806703112118; VALSARTANA; VALSARTANA; VALSARTANA; 320 MG COM REV CT BL AL AL X 30; LG6
538807103119411; VALSACOR; VALSACOR; NOT FOUND; 320 MG COM REV CT BL AL/AL X 30; LG6
538806702116111; VALSARTANA; VALSARTANA; VALSARTANA; 80 MG COM REV CT BL AL AL X 30; LG6
538807101116415; VALSACOR; VALSACOR; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; LG6
