538805202111412, LIPIGRAND, LIPIGRAND, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, LG6
538805203116418, LIPIGRAND, LIPIGRAND, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, LG6
538805204112416, LIPIGRAND, LIPIGRAND, NOT FOUND, 20 MG COM REV CT BL AL/AL X 60, LG6
538805205119414, LIPIGRAND, LIPIGRAND, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, LG6
538805206115412, LIPIGRAND, LIPIGRAND, NOT FOUND, 40 MG COM REV CT BL AL/AL X 60, LG6
538805201113411, LIPIGRAND, LIPIGRAND, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, LG6
538813100047304, LOMYTRAT, LOMYTRAT, NOT FOUND, 50 MG/ML ESM CT FR VD AMB X 2.5 ML + (10 ESP + 30 COMPRESS + 30 LIXAS), LG6
538814101118119, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS LEIT X 30, LG6
538814102114117, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS LEIT X 30, LG6
538805901131412, LACTULIV, LACTULIV, NOT FOUND, 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR AMEIXA), LG6
538805902138410, LACTULIV, LACTULIV, NOT FOUND, 667 MG/ML XPE CT FR VD AMB X 120 ML + CP MED (SABOR SALADA DE FRUTAS), LG6
538817801110115, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 15 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14, LG6
538817802117113, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 14, LG6
538817803113111, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 28, LG6
538817804111112, LANSOPRAZOL, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7, LG6
538814080049506, LATANOPROSTA, LATANOPROSTA, LATANOPROSTA, 0.05 MG/ML SOL OFT CT FR PLAS TRANS GOT X 2.5 ML , LG6
538803101170115, LATANOPROSTA, LATANOPROSTA, LATANOPROSTA, 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML, LG6
538819403112114, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS OPC X 10, LG6
538819401111412, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS OPC X 3, LG6
538819402116418, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS OPC X 7, LG6
538809901136115, LORATADINA, LORATADINA, LORATADINA, 1 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, LG6
538818201133112, LORATADINA + SULFATO DE PSEUDOEFEDRINA, LORATADINA SULFATO PSEUDOEFEDRINA, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED, LG6
538814001113115, LORAZEPAM, LORAZEPAM, LORAZEPAM, 1 MG COM CT BL AL PLAS OPC X 20, LG6
538814002111116, LORAZEPAM, LORAZEPAM, LORAZEPAM, 2 MG COM CT BL AL PLAS OPC X 20, LG6
538817901115119, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 100 MG COM REV CT BL AL PLAS LEIT X 30, LG6
538817902111117, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30, LG6
538812030040006, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 60, LG6
538814120050204, LEUPHILA, LEUPHILA, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 60 , LG6
538814120050304, LEUPHILA, LEUPHILA, NOT FOUND, 400 MG COM REV CT BL AL PLAS OPC X 30, LG6
