538811501166418; NEOTRICIN; NEOTRICIN; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 15 G; LG6
538812090044403; NEOTRICIN; NEOTRICIN; NOT FOUND; 5 MG + 250 UI/G POM DERM CT BG AL X 50G; LG6
538819102112417; NARANETY; NARANETY; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS OPC X 12; LG6
538819101116419; NARANETY; NARANETY; NOT FOUND; 2.5 MG COM REV CT BL AL PLAS OPC X 4; LG6
538812101137419; NOFEBRIN; NOFEBRIN; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; LG6
538812102133417; NOFEBRIN; NOFEBRIN; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
538813020045704; NEXPRAZIN; NEXPRAZIN; NOT FOUND; 20 MG COM REV CT BL AL AL X 28; LG6
538813020045804; NEXPRAZIN; NEXPRAZIN; NOT FOUND; 40 MG COM REV CT BL AL AL X 28; LG6
538817501176412; NEOCORTIN; NEOCORTIN; NOT FOUND; 1.0 MG + 5.0 MG/ML SOL OFR CT FR PLAS OPC GOT X 5 ML; LG6
538804201179414; NOLAPROST; NOLAPROST; NOT FOUND; 0.05 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML ; LG6
538800201115111; NIMESULIDA; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS INC X 12; LG6
538816201136115; NISTATINA; NISTATINA; NISTATINA; 100 000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; LG6
538810101164118; NISTATINA + ÓXIDO DE ZINCO; NISTATINA OXIDO ZINCO; NOT FOUND; 100.000 UI/G + 200 MG/G POM DERM CT BG AL X 60 G; LG6
538810201169111; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G CREM DERM CT BG AL X 28 G; LG6
538810202165111; NITRATO DE MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC X 30 G; LG6
538810401117115; NORFLOXACINO; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS LEIT X 14; LG6
