538820102139114, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, LG6
538820101132116, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, LG6
538812070042306, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT BL AL AL X 12, LG6
538813080046904, ACECLO-GRAN, ACECLO GRAN, NOT FOUND, 100 MG COM REV CT BL AL AL X 12, LG6
538807306133117, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC), LG6
538807305137119, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 100 MG GRAN CT 16 ENV AL POLIET X 5 G, LG6
538807301131116, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, LG6
538807307131118, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC), LG6
538807302138114, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 200 MG GRAN CT 16 ENV AL POLIET X 5 G, LG6
538807304130110, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, LG6
538807308136113, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC), LG6
538807303134112, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 600 MG GRAN CT 16 ENV AL POLIET X 5 G, LG6
538807501165111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM DERM CT BG AL X 10 G, LG6
538814301168111, ADAPALENO, ADAPALENO, ADAPALENO, 1 MG/G GEL CT BG AL X 30 G, LG6
538812040040406, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 200 MG COM MAST CT BL AL PLAS OPC X 2 , LG6
538814401138115, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 10 ML + CP MED, LG6
538812040040306, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 400 MG COM MAST CT BL AL PLAS OPC X 1 , LG6
538812070043706, ALENDRONATO DE SÓDIO, ALENDRONATO SODIO, ALENDRONATO SODIO TRI-HIDRATADO, 70 MG COM CT BL AL PLAS OPC X 4
 , LG6
538801301156111, ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL, ALGESTONA ACETOFENIDA ENANTATO ESTRADIOL, NOT FOUND, 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML , LG6
538815010050606, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 0.5 MG COM CT BL AL PLAS INC X 30, LG6
538815010050706, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 1.0 MG COM CT BL AL PLAS INC X 30, LG6
538815010050806, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 2.0 MG COM CT BL AL PLAS INC X 30, LG6
538812403117119, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 1.0 MG COM CT BL AL PLAS INC X 20, LG6
538812404113117, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 2.0 MG COM CT BL AL PLAS INC X 20, LG6
538812401114112, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 0.25 MG COM CT BL AL PLAS INC X 20, LG6
538812402110110, ALPRAZOLAM, ALPRAZOLAM, ALPRAZOLAM, 0.5 MG COM CT BL AL PLAS INC X 20, LG6
538801001111110, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT BL AL / AL X 12, LG6
538801002116116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT BL AL / AL X 14, LG6
538807601119111, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS OPC X 30, LG6
538807602115111, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS OPC X 30, LG6
538807603111118, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS OPC X 30, LG6
538812502115114, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 30, LG6
538812501119116, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30, LG6
538805602118112, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 10 MG COM REV CT BL AL/AL X 30, LG6
538805603114110, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 20 MG COM REV CT BL AL/AL X 30, LG6
538805604110119, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 40 MG COM REV CT BL AL/AL X 30, LG6
