538814060049303, PERLUMES, PERLUMES, NOT FOUND, 150 MG/ML + 10 MG/ML SOL INJ CT AMP VD AMB X 1 ML , LG6
538810601116112, PARACETAMOL + CAFEÍNA, PARACETAMOL CAFEINA, NOT FOUND, 500 MG + 65 MG COM REV CT BL AL PLAS LEIT X 20, LG6
538821501118410, PAROXILIV, PAROXILIV, NOT FOUND, 20 MG COM REV CT BL AL PLAS OPC X 30, LG6
538811802115413, PARALGEN SINUS, PARALGEN SINUS, NOT FOUND, 500 MG + 30 MG COM REV CT BL PLAS LEIT X 120 (EMB FRAC), LG6
538811801119415, PARALGEN SINUS, PARALGEN SINUS, NOT FOUND, 500 MG + 30 MG COM REV CT BL PLAS LEIT X 24, LG6
538817201131413, PEPSOGEL, PEPSOGEL, NOT FOUND, 40 MG + 30 MG + 5 MG SUS OR CT FR VD INC X 240 ML, LG6
538812080044304, PREVYASM, PREVYASM, NOT FOUND, 3 MG + 0.03 MG COM REV CT BL AL PLAS OPC X 21, LG6
538819801118414, PREVIANE, PREVIANE, NOT FOUND, 0.075 MG + 0.02 MG COM REV CT BL AL PLAS INC - CALEND X 21, LG6
538819802114412, PREVIANE, PREVIANE, NOT FOUND, 0.075 MG + 0.02 MG COM REV CT 3 BL AL PLAS INC - CALEND X 21, LG6
538806201133410, PRURI-GRAN, PRURI GRAN, NOT FOUND, 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED, LG6
538811001112416, PREVYOL-2, PREVYOL 2, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, LG6
538809002115417, PRESSEL, PRESSEL, NOT FOUND, 10 MG COM CT STR X 30, LG6
538809003111415, PRESSEL, PRESSEL, NOT FOUND, 20 MG COM CT STR X 30, LG6
538809001119419, PRESSEL, PRESSEL, NOT FOUND, 5.0 MG COM CT STR X 30, LG6
538814010048006, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV CT BL AL AL X 42, LG6
538814010048106, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL AL X 42, LG6
538803902114116, PANTOPRAZOL SÓDICO SESQUIHIIDRATADO, PANTOPRAZOL SODICO SESQUIHIIDRATADO, NOT FOUND, 20 MG COM REV CT BL AL/AL X 14, LG6
538803903110114, PANTOPRAZOL SÓDICO SESQUIHIIDRATADO, PANTOPRAZOL SODICO SESQUIHIIDRATADO, NOT FOUND, 20 MG COM REV CT BL AL/AL X 28, LG6
538803901118118, PANTOPRAZOL SÓDICO SESQUIHIIDRATADO, PANTOPRAZOL SODICO SESQUIHIIDRATADO, NOT FOUND, 40 MG COM REV CT BL AL/AL X 14, LG6
538803904117112, PANTOPRAZOL SÓDICO SESQUIHIIDRATADO, PANTOPRAZOL SODICO SESQUIHIIDRATADO, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, LG6
538809302135111, PARACETAMOL, PARACETAMOL, PARACETAMOL, 100 MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD, LG6
538809305134116, PARACETAMOL, PARACETAMOL, PARACETAMOL, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, LG6
538810802138415, PARALGEN, PARALGEN, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, LG6
538809304138118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 32 MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED, LG6
538809303115114, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 20, LG6
538810801115411, PARALGEN, PARALGEN, NOT FOUND, 750 MG COM REV CT BL AL PLAS INC X 20, LG6
538809301112118, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750 MG COM REV CT BL AL PLAS LEIT X 200 (EMB HOSP), LG6
538802401111116, PIROXICAM, PIROXICAM, PIROXICAM, 20MG COM SOL CT BL AL PLAS OPC X 10, LG6
538812030040204, PRED-GRAN, PRED GRAN, NOT FOUND, 20 MG COM CT BL AL AL X 10, LG6
538812050041206, PREDNISOLONA, PREDNISOLONA, PREDNISOLONA, 20 MG COM CT BL AL AL X 10, LG6
538809101113412, PREDINIS, PREDINIS, NOT FOUND, 20 MG COM CT BL AL PLAS INC X 10, LG6
538809401117111, PREDNISONA, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS LEIT X 10, LG6
538809102111413, PREDINIS, PREDINIS, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, LG6
538809402113111, PREDNISONA, PREDNISONA, PREDNISONA, 5 MG COM CT BL AL PLAS OPC X 20, LG6
538811601111410, PONSDRIL, PONSDRIL, NOT FOUND, 500 MG COM CT BL AL PLAS LEIT X 24, LG6
