538803001117417; INFLADEX; INFLADEX; NOT FOUND; 10O MG  COM  REV  DESINT LENTA CT BL AL PLAS INC X 10 ; LG6
538803002113415; INFLADEX; INFLADEX; NOT FOUND; 10O MG  COM  REV  DESINT LENTA CT BL AL PLAS INC X 20 ; LG6
538802202135112; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUS OR CT FR PLAS OPC X 20 ML + CGT ; LG6
538806901135416; IBUFLEX; IBUFLEX; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 30 ML + CGT; LG6
538813080047003; IBUFLEX; IBUFLEX; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 40 (EMB MULT); LG6
538813050046404; IBUFLEX; IBUFLEX; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 8; LG6
538802201139114; IBUPROFENO; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML ; LG6
538812010039106; INDAPAMIDA; INDAPAMIDA; INDAPAMIDA; 1.5 MG COM REV CT BL AL AL X 30; LG6
538812030039804; INDATRAT; INDATRAT; NOT FOUND; 1.5 MG COM REV CT BL AL AL X 30; LG6
538811901113419; INFLALID; INFLALID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 12; LG6
538811902136412; INFLALID; INFLALID; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; LG6
