538817302114417, TAVAGRAN, TAVAGRAN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 10, LG6
538817303110415, TAVAGRAN, TAVAGRAN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 3, LG6
538817301118419, TAVAGRAN, TAVAGRAN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEIT X 7, LG6
538810301163115, TINIDAZOL + NITRATO DE MICONAZOL, TINIDAZOL NITRATO MICONAZOL, NOT FOUND, 30 MG/G + 20 MG/G CREM VAG CT BG AL X 45 G + 7 APLIC, LG6
538812070043306, TELMISARTANA, TELMISARTANA, TELMISARTANA, 40 MG COM CT BL AL AL X 30, LG6
538812070043406, TELMISARTANA, TELMISARTANA, TELMISARTANA, 80 MG COM CT BL AL AL X 30 , LG6
538812090044504, TILOGRAN, TILOGRAN, NOT FOUND, 2.5 MG COM CT BL AL PLAS OPC X 30, LG6
538812100045206, TIBOLONA, TIBOLONA, TIBOLONA, 2.5 COM CT BL AL PLAS OPC X 30, LG6
538806601166111, TIOCONAZOL + TINIDAZOL, TIOCONAZOL TINIDAZOL, NOT FOUND, 20 MG/G + 30 MG/G CREM VAG CT BG AL X 35 G + 7 APLIC, LG6
538802601171112, TOBRAMICINA, TOBRAMICINA, TOBRAMICINA, 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML , LG6
538803201175410, TOBRACULAR, TOBRACULAR, NOT FOUND, 3.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5ML , LG6
538820502110113, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 100 MG COM REV CT BL AL PLAS LEIT X 60, LG6
538820501114115, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 25 MG COM REV CT BL AL PLAS LEIT X 60, LG6
538820503117111, TOPIRAMATO, TOPIRAMATO, TOPIRAMATO, 50 MG COM REV CT BL AL PLAS LEIT X 60, LG6
538812030039906, TRAVOPROSTA, TRAVOPROSTA, TRAVOPROSTA, 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML 1, LG6
538812030040103, TRAVAPRESS, TRAVAPRESS, NOT FOUND, 0.04 MG/ML SOL OFT CT FR PLAS OPC GOT X 2.5 ML , LG6
538816501113110, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, TROMETAMOL CETOROLACO, 10 MG COM SUB-LING CT FR VD AMB X 10, LG6
538819201110412, TREXACONT, TREXACONT, NOT FOUND, 250 MG COM CT BL AL PLAS OPC X 12, LG6
