538811101168413; DEXADERMIL; DEXADERMIL; NOT FOUND; 1MG/G CREM DERM CT BG AL X 10 G; LG6
538816901111417; DORILEN; DORILEN; NOT FOUND; 500 MG + 10 MG + 5 MG COM CT BL AL PLAS OPC X 12; LG6
538816904110411; DORILEN; DORILEN; NOT FOUND; 500 MG + 10 MG + 5 MG COM CT BL AL PLAS OPC X 16; LG6
538816902134410; DORILEN; DORILEN; NOT FOUND; (500 MG + 10 MG + 5 MG) / 1.5 ML SOL OR CT FR VD CGT X 15 ML; LG6
538816903130419; DORILEN; DORILEN; NOT FOUND; (500 MG + 10 MG + 5 MG) / 1.5 ML SOL OR CT FR VD CGT X 20 ML; LG6
538812020039304; DORYDRIN; DORYDRIN; NOT FOUND; 35 MG + 300 MG +50 MG COM CT BL AL PLAS LARANJA X 240; LG6
538800302167419; DERM PROX; DERM PROX; NOT FOUND; 10 MG/G CREM DERM CT BG AL X 20 G; LG6
538800301179413; DERM PROX; DERM PROX; NOT FOUND; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; LG6
538813110047404; DULORGRAN; DULORGRAN; NOT FOUND; 30 MG CAP GEL LIB RETARD CT BL AL AL X 15; LG6
538813110047504; DULORGRAN; DULORGRAN; NOT FOUND; 30 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
538814010047903; DULORGRAN; DULORGRAN; NOT FOUND; 30 MG CAP GEL LIB RETARD CT BL AL AL X 7 ; LG6
538813110047604; DULORGRAN; DULORGRAN; NOT FOUND; 60 MG CAP GEL LIB RETARD CT BL AL AL X 30; LG6
538813501163415; DERMOBENE; DERMOBENE; NOT FOUND; 10 MG/G CREM CT BG AL X 20 G; LG6
538813502178416; DERMOBENE; DERMOBENE; NOT FOUND; 10 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML; LG6
538813402114114; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS OPC X 10; LG6
538813401118116; DEFLAZACORTE; DEFLAZACORTE; DEFLAZACORTE; 6 MG COM CT BL AL PLAS OPC X 20; LG6
538802002136115; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100 ML + SER DOSAD; LG6
538804103134416; DESLORANA; DESLORANA; NOT FOUND; 0.5 MG/ML XPE  CT FR VD AMB X 100 ML + SER DOSAD; LG6
538802003132113; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; LG6
538804101131411; DESLORANA; DESLORANA; NOT FOUND; 0.5 MG/ML XPE  CT FR VD AMB X 60 ML + SER DOSAD; LG6
538802001113111; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM VER CT BL AL PLAS OPC X 10; LG6
538804102111412; DESLORANA; DESLORANA; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 10; LG6
538812040040506; DESLORATADINA; DESLORATADINA; DESLORATADINA; 5 MG COM REV CT BL AL PLAS OPC X 30; LG6
538812060041903; DESLORANA; DESLORANA; NOT FOUND; 5 MG COM REV CT BL AL PLAS OPC X 30; LG6
