1003800400021; CONAZOL; CONAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 20 G; BRT
1003800880048; CIFLOXATIL; CIFLOXATIL; NOT FOUND; 500 MG COM REV C/ 14; BRT
1003800880021; CIFLOXATIL; CIFLOXATIL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; BRT
1003800880013; CIFLOXATIL; CIFLOXATIL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; BRT
1003800880031; CIFLOXATIL; CIFLOXATIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; BRT
1003800940016; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 14; BRT
1003800940024; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 210 (EMB HOSP); BRT
1003800950011; CIFLOXATIL; CIFLOXATIL; NOT FOUND; 500 MG COM REV CT BL AL PLAS TRANS X 14; BRT
1003800490045; CINAFLAN; CINAFLAN; NOT FOUND; 15MG/ SOL OR CT FR PLAST OPC GOT X 10; BRT
1003800490037; CINAFLAN; CINAFLAN; NOT FOUND; 50 MG DRG CT BL AL PLAST INC X 10; BRT
1003800450027; CINATIL GEL; CINATIL GEL; NOT FOUND; 11.6 MG/G GEL CT BG AL X 60 G; BRT
