1003800640012; ALBEZIN; ALBEZIN; NOT FOUND; 400 MG/10 ML SUS OR X 10 ML; BRT
1003800640039; ALBEZIN; ALBEZIN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 1; BRT
1003800480023; AMBROL; AMBROL; NOT FOUND; 15MG/5ML XPE CT FR VD AMB X 100 + CP MED; BRT
1003800480015; AMBROL; AMBROL; NOT FOUND; 30MG/5ML XPE CT FR VD AMB X 100 +CP MED; BRT
1003800500024; ATENALON; ATENALON; NOT FOUND; 100 MG CT 2 BL INC X 14; BRT
1003800500016; ATENALON; ATENALON; NOT FOUND; 50 MG CT 2 BL INC X 14; BRT
1003800740051; AZOMICIN; AZOMICIN; NOT FOUND; 900 MG SUS ORAL FR X 22.5 ML; BRT
1003800740041; AZOMICIN; AZOMICIN; NOT FOUND; 600 MG/ 15 ML PO SUS OR CT FR PLAS OPC + DIL FLAC PLAS INC X; BRT
1003800740033; AZOMICIN; AZOMICIN; NOT FOUND; 500 MG COM REV CT BL X 3; BRT
1003800580044; AORTEN; AORTEN; NOT FOUND; 12.5 MG COM CT C/ BL AL PLAS INC X 30; BRT
1003800580087; AORTEN; AORTEN; NOT FOUND; 25MG COM CT 25 BL AL PLAS INC X 20; BRT
1003800580052; AORTEN; AORTEN; NOT FOUND; 25 MG COM CT C/ BL AL PLAS INC X 30; BRT
1003800580060; AORTEN; AORTEN; NOT FOUND; 50 MG COM CT C/ BL AL PLAS INC X 30; BRT
1003800480074; AMBROL; AMBROL; NOT FOUND; 30 MG/5 ML XPE CT FR PLAS AMB X 100 ML + COP; BRT
1003800480082; AMBROL; AMBROL; NOT FOUND; 15 MG/5 ML XPE CT FR PLAS AMB X 100 ML + COP; BRT
