523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
523301301132411, GASTRIZAN, GASTRIZAN, NOT FOUND, 200+200+20 MG/5 ML SUS OR CT FR VD AMB X 150ML, LQN
523301401161413, GELAPON, GELAPON, NOT FOUND, 44.4 MG/G + 20 MG/G + 4.44 MG/G + 222.2 MG/G POD D, LQN
