529900101113114; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT STR AL X 12; RBY
529900102111115; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT 2 STR AL X 12; RBY
529900201118118; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 10; RBY
529900202114116; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; RBY
529900203110114; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS INC X 10; RBY
529900204117112; ACICLOVIR; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS INC X 25; RBY
529900409134116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML + COL DOSAD; RBY
529900411112116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; RBY
529900406119116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); RBY
529900407115114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; RBY
529900410116118; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; RBY
529900408111112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); RBY
529900509112114; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 12 ; RBY
529900510110111; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 14; RBY
529900508116116; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT STR AL X 20; RBY
529900503114115; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 100 (EMB HOSP); RBY
529900511117111; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 12; RBY
529900504110113; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 18; RBY
529900505117111; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT STR AL X 6; RBY
529900507136113; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 80 MG/ML + 11.5 MG/ML PO SUS OR CT FR PLAS OPC X 70 ML ; RBY
529912050038006; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 80 MG/ML + 11.5 MG/ML PO SUS OR CT FR PLAS OPC X 70 ML + CP MED; RBY
529913004111112; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; RBY
529913005118110; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; RBY
