47361, ADNAX , ADNAX, NOT FOUND, GOTAS 20 ML x 1 (ADLT), DNF
53575, ADOCYL , ADOCYL, NOT FOUND, LIQ.SAC/CICL 100 ML x 1, DNF
53576, ADOCYL , ADOCYL, NOT FOUND, LIQ.SAC/CICL 200 ML x 1, DNF
69358, ADOCYL , ADOCYL, NOT FOUND, PO ASPARTAME 0.80 G x 50, DNF
30146, ADOCYL , ADOCYL, NOT FOUND, PO ASPARTAME 1 G x 50, DNF
640, ANAPYON , ANAPYON, NOT FOUND, LIQD 100 ML x 1, DNF
59347, APRACUR , APRACUR, NOT FOUND, CPR REVEST x 100, DNF
62431, APRACUR , APRACUR, NOT FOUND, CPR REVEST x 25 X6, DNF
91070, ATROVERAN , ATROVERAN, NOT FOUND, CPR x 20, DNF
1087, ATROVERAN , ATROVERAN, NOT FOUND, CPR x 4 X25, DNF
62889, ATROVERAN , ATROVERAN, NOT FOUND, CPR x 6 X25, DNF
53209, ATROVERAN , ATROVERAN, NOT FOUND, GOTAS 30 ML x 1, DNF
75457, ATROVERAN PLUS , ATROVERAN PLUS, NOT FOUND, CPR x 150, DNF
