52533; MARACUGINA CPTA ; MARACUGINA CPTA; NOT FOUND; DRAG x 45; DNF
45284; MARACUGINA CPTA ; MARACUGINA CPTA; NOT FOUND; LIQD 150 ML x 1; DNF
41981; MELHORAL ; MELHORAL; NOT FOUND; CPR 500 MG x 100 (ADLT); DNF
6662; MELHORAL ; MELHORAL; NOT FOUND; CPR 500 MG x 200 (ADLT); DNF
6663; MELHORAL ; MELHORAL; NOT FOUND; CPR 85 MG x 200 (INF); DNF
51435; MELHORAL C ; MELHORAL C; NOT FOUND; CPR EFER x 60; DNF
50452; MELHORAL C ; MELHORAL C; NOT FOUND; CPR REVEST x 100; DNF
58873; MERTHIOLATE NF ; MERTHIOLATE NF; NOT FOUND; SOLN TOP. 1 % 30 ML x 1; DNF
61873; MERTHIOLATE NF ; MERTHIOLATE NF; NOT FOUND; SPRAY 45 ML x 1; DNF
74235; MIRADOR ; MIRADOR; NOT FOUND; CPR 500 MG x 12; DNF
74232; MIRADOR ; MIRADOR; NOT FOUND; CPR 500 MG x 150; DNF
74234; MIRADOR ; MIRADOR; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); DNF
