74905, DERMALINA , DERMALINA, NOT FOUND, CREME DERMAT 20 MG 28 G x 1 (/G), DNF
74906, DERMALINA , DERMALINA, NOT FOUND, LOC. 20 MG 30 G x 1 (/G), DNF
74907, DERMALINA , DERMALINA, NOT FOUND, PO 20 MG 30 G x 1 (/G), DNF
75287, DERMIL , DERMIL, NOT FOUND, POM. 45 G x 1, DNF
75286, DERMIL , DERMIL, NOT FOUND, POM. 90 G x 1, DNF
76960, DERMIL , DERMIL, NOT FOUND, POM.CAMOM 45 G x 1, DNF
74473, DIN , DIN, NOT FOUND, CPR 500 MG x 100, DNF
74472, DIN , DIN, NOT FOUND, CPR 500 MG x 150, DNF
74474, DIN , DIN, NOT FOUND, CPR 750 MG x 100, DNF
74475, DIN , DIN, NOT FOUND, CPR 750 MG x 150, DNF
74470, DIN , DIN, NOT FOUND, GOTAS 200 MG 15 ML x 1 (/ML), DNF
62955, DORIL , DORIL, NOT FOUND, CPR x 150 (ADLT), DNF
92793, DORIL , DORIL, NOT FOUND, CPR x 20 (ADLT), DNF
165370, DORIL ENXAQUECA , DORIL ENXAQUECA, NOT FOUND, CPR REVEST x 100, DNF
