56843, FINN , FINN, NOT FOUND, GOTAS CRISTA 100 ML x 1, DNF
77590, FINN , FINN, NOT FOUND, LIQD.SUCRALO 75 ML x 1, DNF
56842, FINN , FINN, NOT FOUND, GOTAS 65 ML x 1, DNF
77591, FINN , FINN, NOT FOUND, LIQD.SUCRALO 25 ML x 1, DNF
47079, FINN , FINN, NOT FOUND, LIQD 25 ML x 1, DNF
68240, FINN , FINN, NOT FOUND, PO SOLU.ENV. 0.80 G x 100, DNF
68239, FINN , FINN, NOT FOUND, PO SOLU.ENV. 0.80 G x 50, DNF
53245, FINN , FINN, NOT FOUND, PO SOLU.ENV. 1 G x 100, DNF
77620, FINN , FINN, NOT FOUND, PO S ENV SUC 0.80 G x 50, DNF
44938, FINN , FINN, NOT FOUND, PO SOLU.ENV. 1 G x 50, DNF
68241, FINN , FINN, NOT FOUND, PO SOLU.ENV. 0.80 G x 1000, DNF
48454, FINN , FINN, NOT FOUND, PO SOLU.ENV. 1 G x 1000, DNF
77619, FINN , FINN, NOT FOUND, PO S ENV SUC 0.80 G x 1000, DNF
77628, FINN , FINN, NOT FOUND, PO SUCRALO 1 150 G x 1, DNF
49273, FINN , FINN, NOT FOUND, PO 150 G x 1, DNF
52884, FINN , FINN, NOT FOUND, TABLETES 38 % x 100, DNF
62432, FLUVIRAL , FLUVIRAL, NOT FOUND, CPR x 25 X6, DNF
51821, FLUVIRAL , FLUVIRAL, NOT FOUND, CPR x 300, DNF
58247, FLUVIRAL , FLUVIRAL, NOT FOUND, CPR x 100, DNF
