500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
500102401154115, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 2G + 0.25G PO LIOF P/ SOL INJ IV CT FA VD INC X 30ML, AOB
500102402150113, PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO, PIPERACILINA SODICA TAZOBACTAM SODICO, NOT FOUND, 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML, AOB
