500103601114115; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5MG COM CT BL AL PLAS INC X 30 ; AOB
500103602110113; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25MG COM CT BL AL PLAS INC X 30 ; AOB
500103603117111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50MG COM CT BL AL PLAS INC X 30 ; AOB
500103002131111; CEFADROXILA; CEFADROXILA; CEFADROXILA; 50 MG/ML PO P/ SUS OR CT FR PLAS INC X 100 ML + SER DOSAD; AOB
500113070014306; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 200 (EMB HOSP); AOB
500113070014406; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 400 (EMB HOSP); AOB
500103001117113; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 8; AOB
500100802119111; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PVC/PVDC INC X 10; AOB
500100806114112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 10; AOB
500100803115118; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 100 (EMB HOSP); AOB
500100804111116; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 200 (EMB HOSP); AOB
500100801112111; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PVC/PVDC INC X 8; AOB
500100805118114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PVC/PE/PVDC INC X 8; AOB
500100102151411; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT FA VD INC + DIL AMP PLAS INC X 10 ML; AOB
500100103156113; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC  X 10 ML (EMB HOSP); AOB
500100104152111; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT FA VD INC + DIL AMP PLAS INC  X 5 ML; AOB
500100105159111; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC  X 5 ML (EMB HOSP); AOB
500100106155118; CEFALOTINA SÓDICA; CEFALOTINA SODICA; CEFALOTINA SODICA; 1G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
500100202154410; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CT 1 FA VD INC +  1 DIL X 10 ML; AOB
500100203150117; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO INJ CT 25 FA VD INC + 25 DIL X 10 ML; AOB
500100204157115; CEFAZOLINA SÓDICA; CEFAZOLINA SODICA; CEFAZOLINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
500100307150113; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 01 FA VD INC + 01 DIL AMP VD INC X 10 ML; AOB
500100308157111; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 10 ML; AOB
500100309153111; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 5 ML (EMB HOSP); AOB
500100310151117; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
500100311158115; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 1 G PO SOL INJ CT FA VD INC + AMP DIL VD INC X 5 ML; AOB
500100305158117; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 500 MG PO P/ SOL INJ CT 01 FA VD INC + 01 DIL AMP VD INC X 5 ML; AOB
500100306154115; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 500 MG PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 5 ML; AOB
500100312154113; CEFOTAXIMA SÓDICA; CEFOTAXIMA SODICA; CEFOTAXIMA SODICA; 500 MG PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
500100901151119; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; 1 G PO P/SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 10 ML ; AOB
500100902156114; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; 1 G PO P/ SOL INJ CT 50 FA VD INC; AOB
500100903152112; CEFTAZIDIMA; CEFTAZIDIMA; CEFTAZIDIMA; 1 G PO P/SOL INJ CT FA VD INC +  DIL AMP VD INC X 10 ML ; AOB
500101101157110; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO INJ  IV CT 5 FA VD INC + 5 AMP DIL X 10 ML; AOB
500101102153119; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO INJ IV  CT 25 FA VD INC + 25 AMP DIL X 10 ML; AOB
500101103151111; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO P/ SOL INJ  IV CT 50 FA VD INC (EMB HOSP); AOB
500101104156115; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 1 G PO P/ SOL INJ IV CT FA VD INC + AMP DIL X 10 ML ; AOB
500101105152113; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO P/ SOL INJ IV CT FA VD INC +  DIL X 5 ML ; AOB
500101106159111; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO INJ IV CT 5 FA VD INC + 5 AMP DIL X 5 ML; AOB
500101107155111; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO INJ  IV CT 25 FA VD INC + 25 AMP DIL X 5 ML; AOB
500101108151118; CEFTRIAXONA SÓDICA; CEFTRIAXONA SODICA; CEFTRIAXONA SODICA; 500 MG PO P/ SOL INJ IV CT 50 FA VD INC (EMB HOSP); AOB
500101001152117; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT 25 FA VD INC + 25 AMP DIL VD INC X 6 ML ; AOB
500101002159115; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT 25 FA VD INC; AOB
500101003155113; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO SOL INJ CT FA VD INC + 1 AMP DIL VD INC X 6 ML ; AOB
500113070014206; CEFUROXIMA SÓDICA; CEFUROXIMA SODICA; CEFUROXIMA SODICA; 750 MG PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP); AOB
500101201151114; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT 25 FA VD INC  ; AOB
500101202158112; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT 25 FA VD INC + 25 DIL AMP VD INC X 3 ML; AOB
500101203154110; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT  FA VD INC ; AOB
500101204150119; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT  FA VD INC X  DIL AMP VD INC X 3 ML; AOB
500112030012706; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 1 G PO SOL INJ CT FA VD TRANS + BOLS PLAS TRANS SIST FECH X 100 ML; AOB
500112030012806; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 1 G PO SOL INJ CT 10 FA VD TRANS + 10 BOLS PLAS TRANS SIST FECH X 100 ML; AOB
500112030013006; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 2 G PO SOL INJ CT 10 FA VD TRANS + 10 BOLS PLAS TRANS SIST FECH X 100 ML; AOB
500101205157117; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT FA VD INC; AOB
500112030012906; CLORIDRATO DE CEFEPIME; CLORIDRATO CEFEPIME; NOT FOUND; 2 G PO SOL INJ CT FA VD TRANS + BOLS PLAS TRANS SIST FECH X 100 ML; AOB
500100401114419; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 10; AOB
500100411111110; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT 2 BL AL PLAS INC X 07; AOB
500100407112116; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT 2 BL AL PLAS INC X 10; AOB
500100406116118; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; AOB
500100404113413; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; AOB
500100410113111; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 07; AOB
500100409115112; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 10; AOB
500100408119114; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT 1 BL AL PLAS INC X 06 ; AOB
500114100016806; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 7; AOB
500114100016906; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 14; AOB
500114100017006; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS TRANS X 30; AOB
500101401118110; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30; AOB
500114010016006; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); AOB
500114010016106; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); AOB
500101402114119; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; AOB
500114010016206; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); AOB
500101403110117; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; AOB
500114010016306; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); AOB
500114010016406; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); AOB
500101404117115; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; AOB
500114010016506; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); AOB
500101405113113; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; AOB
500103501111114; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC OPC X 10; AOB
500103502116111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC OPC X 20; AOB
500103503112118; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PVC/PVDC OPC X 30; AOB
500102702111113; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 100 MG COM REV CT BL AL PLAS INC X 14; AOB
500113080015406; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 140 (EMB HOSP); AOB
500102701115115; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 28; AOB
500113080015506; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 280 (EMB HOSP); AOB
500113080015606; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 560 (EMB HOSP); AOB
