507731401130410; BRONCOLEX; BRONCOLEX; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML; EMS
507731402137419; BRONCOLEX; BRONCOLEX; NOT FOUND; 5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML; EMS
507733701131117; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40 MG/ML SUS OR CT FA VD AMB X  120 ML; EMS
507730502111111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; EMS
507730505110116; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC); EMS
507730504114118; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30; EMS
507730506117114; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS LAR X 90 (EMB FRAC); EMS
531614040073704; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 10 MG  COM REV CT BL AL AL X 30; EMS
531614040073204; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 10 ; EMS
531614040073304; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 30; EMS
531614040073404; BRASART BCC; BRASART BCC; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL AL X 60; EMS
531614040073504; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 30; EMS
531614040073604; BRASART BCC; BRASART BCC; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL AL X 60; EMS
507736001157411; BETROSPAM; BETROSPAM; NOT FOUND; (5 + 2) MG/ML SUS INJ CT AMP VD INC; EMS
507726503133110; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.1 MG/ML ELX CT FR VD AMB X 120 ML; EMS
531604503115116; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 20; EMS
