507722101111411; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG COM REV CT  BL AL PLAS INC X 21 ; EMS
507722102118411; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63; EMS
531603301111413; REBATEN LA; REBATEN LA; NOT FOUND; 160 MG CAP GEL DURA LIB PROL CT FR PLAS OPC X 30; EMS
531603302116419; REBATEN LA; REBATEN LA; NOT FOUND; 80 MG CAP GEL DURA LIB PROL CT FR PLAS OPC X 30; EMS
507721901114417; RANITIL; RANITIL; NOT FOUND; 150MG COM CT 2 ENV AL X 10; EMS
531614080076206; RISEDRONATO SODICO; RISEDRONATO SODICO; RISEDRONATO SODICO; 35 MG COM REV CT BL AL PLAS OPC X 4; EMS
507722202139419; RINIGRAN; RINIGRAN; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML; EMS
507722201132410; RINIGRAN; RINIGRAN; NOT FOUND; 1.0 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML; EMS
531603503111414; ROHYDORM; ROHYDORM; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 20; EMS
531603504118412; ROHYDORM; ROHYDORM; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; EMS
507735902118114; RAMIPRIL + HIDROCLOROTIAZIDA; RAMIPRIL HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; EMS
507735901111116; RAMIPRIL + HIDROCLOROTIAZIDA; RAMIPRIL HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 90 (EMB FRAC); EMS
531619401119110; RAMIPRIL + HIDROCLOROTIAZIDA; RAMIPRIL HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; EMS
531621201113412; RAMIPRESS HCT; RAMIPRESS HCT; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; EMS
541812070002404; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 80 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
541812070002504; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
541812070002604; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; EMS
541812070002704; ROVELAN HCT; ROVELAN HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; EMS
507722002113416; REPOFLOR; REPOFLOR; NOT FOUND; 100 MG CAP GEL DURA CT FR PLAS OPC X 12; EMS
507722001133413; REPOFLOR; REPOFLOR; NOT FOUND; 200 MG PO OR CT 4 ENV KRAFT POLIET X 1 G; EMS
507722003111417; REPOFLOR; REPOFLOR; NOT FOUND; 200 MG CAP GEL DURA CT FR PLAS OPC X 6; EMS
507745301117110; REPAGLINIDA; REPAGLINIDA; REPAGLINIDA; 2 MG COM CT BL AL AL X 30; EMS
507729901131112; RIFAMICINA; RIFAMICINA; RIFAMICINA; 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML; EMS
507732701170416; RIFASAN; RIFASAN; NOT FOUND; 10 MG / ML SOL TOP CT FR VD AMB SPRAY X 20 ML; EMS
541814120009606; RILUZOL; RILUZOL; RILUZOL; 50 MG COM REV CT BL AL PLAS OPC X 60; EMS
531613050069203; RISEDROSS; RISEDROSS; NOT FOUND; 35 MG COM REV CT BL AL PLAS OPC X 12; EMS
531619501113416; RISEDROSS; RISEDROSS; NOT FOUND; 35 MG COM REV CT BL AL PLAS OPC X 2; EMS
507740302115110; RISEDRONATO SÓDICO; RISEDRONATO SODICO; RISEDRONATO SODICO; 35 MG COM REV CT BL AL PLAS OPC X 2; EMS
507741602112417; RISONATO; RISONATO; NOT FOUND; 35 MG COM REV CT BL AL PLAS OPC X 2; EMS
531619502111417; RISEDROSS; RISEDROSS; NOT FOUND; 35 MG COM REV CT BL AL PLAS OPC X 4; EMS
507740301119112; RISEDRONATO SÓDICO; RISEDRONATO SODICO; RISEDRONATO SODICO; 35 MG COM REV CT BL AL PLAS OPC X 4; EMS
507741601116419; RISONATO; RISONATO; NOT FOUND; 35 MG COM REV CT BL AL PLAS OPC X 4; EMS
507737201133113; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG/ML SOL OR CT FR VD AMB X 30 ML + SER PLAS DOSAD ; EMS
507745102114111; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 10; EMS
531623901112415; RUSOVAS; RUSOVAS; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; EMS
507745103110111; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 10 MG COM REV CT BL AL/AL X 30; EMS
507745901114414; ROSUVAST; ROSUVAST; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; EMS
531613100071003; RUSOVAS; RUSOVAS; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60; EMS
531623902119413; RUSOVAS; RUSOVAS; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; EMS
507745101118113; ROSUVASTATINA CÁLCICA; ROSUVASTATINA CALCICA; ROSUVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; EMS
507745902110412; ROSUVAST; ROSUVAST; NOT FOUND; 20 MG COM REV CT BL AL/AL X 30; EMS
531613120072003; RUSOVAS; RUSOVAS; NOT FOUND; 5 MG COM REV CT BL AL AL X 10; EMS
531613090070104; RUSOVAS; RUSOVAS; NOT FOUND; 5 MG COM REV CT BL AL AL X 30; EMS
531613100070903; RUSOVAS; RUSOVAS; NOT FOUND; 5 MG COM REV CT BL AL AL X 60; EMS
507722303113415; ROVELAN; ROVELAN; NOT FOUND; 160 MG COM REV CT BL AL/AL X 30; EMS
507722304111416; ROVELAN; ROVELAN; NOT FOUND; 320 MG COM REV CT BL AL/AL X 30; EMS
507722305116411; ROVELAN; ROVELAN; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; EMS
507722306112411; ROVELAN; ROVELAN; NOT FOUND; 80 MG COM REV CT BL AL/AL X 15; EMS
507722307119418; ROVELAN; ROVELAN; NOT FOUND; 80 MG COM REV CT BL AL/AL X 30; EMS
