531616001160119; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; EMS
507733301168110; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; EMS
531615901168118; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45G + 10 APLIC ; EMS
507708201163116; CLORID.TETRAMICINA + ANFOTERICINA; CLORID TETRAMICINA ANFOTERICINA; NOT FOUND; CR VAG 45G C/10 APL; EMS
507705701165113; CETOC.+BETAM.+SULF. NEO.; CETOC BETAM SULF NEO; NOT FOUND; CREME 20 + 0.5 + 2.5 MG/G BISN; EMS
507705702161111; CETOC.+BETAM.+SULF. NEO.; CETOC BETAM SULF NEO; NOT FOUND; POMADA 20 + 0.5 + 2.5 MG/G; EMS
507705401137416; CELERGIN; CELERGIN; NOT FOUND; 0.25 MG + 2 MG / 5 ML XPE 120ML; EMS
507705402117419; CELERGIN; CELERGIN; NOT FOUND; 0.25 MG + 2 MG COMP 2 BL X 10 COMP-E; EMS
507708702111410; COMPLEXO B; COMPLEXO B; NOT FOUND; FR C/20 COMP REV; EMS
507708703134414; COMPLEXO B; COMPLEXO B; NOT FOUND; GOTAS FR C/20ML; EMS
507708706133419; COMPLEXO B; COMPLEXO B; NOT FOUND; (3MG + 1MG + 1MG + 1.5MCG + 2.5MG + 1.5MG)/ML XPE CT FR VD AMB X 120 ML; EMS
507708701115412; COMPLEXO B; COMPLEXO B; NOT FOUND; FR C/100 COMP REV; EMS
531614080075404; CUORE; CUORE; NOT FOUND; 75 MG COM REV CT BL AL AL X 14 ; EMS
531614080075504; CUORE; CUORE; NOT FOUND; 75 MG COM REV CT BL AL AL X 28; EMS
507732401134112; CITRATO DE ORFENADINA +DIPIRONA SÓDICA + CAFEÍNA ANIDRA; CITRATO ORFENADINA DIPIRONA SODICA CAFEINA ANIDRA; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EMS
541813110006506; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL PLAS OPC X 30; EMS
541813110006406; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL PLAS OPC X 30; EMS
541814040007406; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG CT BL AL PLAS OPC X 30; EMS
541814040007306; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG CT BL AL PLAS OPC X 30; EMS
507730311111117; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; EMS
507730308110113; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 90 (EMB FRAC)  ; EMS
507730302112114; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; EMS
507730307114115; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); EMS
507730309117111; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 90 (EMB FRAC) ; EMS
507730305111119; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; EMS
507730306118117; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); EMS
507730310115119; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 90 (EMB FRAC) ; EMS
507703801111116; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT 2 BL AL PLAS LEIT X 15 ; EMS
507703803114112; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT BL AL PLAS LEIT X 15  ; EMS
507703804110110; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
507704004215420; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 120 MG COM REV CT BL AL PLAS INC X 30; EMS
507704001119110; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; EMS
531610602138119; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; EMS
507704102136126; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; XPE INF 100ML; EMS
