502300201115318; ARIMIDEX; ARIMIDEX; NOT FOUND; 1 MG COM REV CT 2 BL AL PLAS INC X 14; AZN
502300501119319; ATENOL; ATENOL; NOT FOUND; 100 MG COM CT BL PLAS INC X 28; AZN
502300502115317; ATENOL; ATENOL; NOT FOUND; 25MG COM CT BL AL PLAS INC X 28; AZN
502300503111315; ATENOL; ATENOL; NOT FOUND; 50 MG COM CT BL AL PLAS IN X 28; AZN
502300401114218; ATACAND HCT; ATACAND HCT; NOT FOUND; 16.0 MG + 12.5 MG COM CT BL AL PLAS INC X 20; AZN
502300402110216; ATACAND HCT; ATACAND HCT; NOT FOUND; 16.0 MG + 12.5 MG COM CT BL AL PLAS INC X 30; AZN
502300403117214; ATACAND HCT; ATACAND HCT; NOT FOUND; 8.0 MG + 12.5 MG COM CT BL AL PLAS INC X 20; AZN
502300404113212; ATACAND HCT; ATACAND HCT; NOT FOUND; 8.0 MG + 12.5 MG COM CT BL AL PLAS INC X 30; AZN
502300301111217; ATACAND; ATACAND; NOT FOUND; 16.0 MG COM CT BL AL PLAS INC X 20 ; AZN
502300302116212; ATACAND; ATACAND; NOT FOUND; 16.0 MG COM CT BL AL PLAS INC X 30; AZN
502300307118213; ATACAND; ATACAND; NOT FOUND; 32MG COM CT BL AL PLAS INC X 10 ; AZN
502300308114211; ATACAND; ATACAND; NOT FOUND; 32MG COM CT BL AL PLAS INC X 20; AZN
502300309110211; ATACAND; ATACAND; NOT FOUND; 32MG COM CT BL AL PLAS INC X 30; AZN
502300303112210; ATACAND; ATACAND; NOT FOUND; 8.0 MG COM CT BL AL PLAS INC X 20 ; AZN
502300304119219; ATACAND; ATACAND; NOT FOUND; 8.0 MG COM CT BL AL PLAS INC X 30; AZN
502306201117311; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 2.5MG COM LIB PROL CT BL AL/AL 10 X 10; AZN
502306203111319; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 5MG COM LIB PROL CT BL AL/AL 10 X 10; AZN
502306202113318; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 2.5MG COM LIB PROL CT BL AL/AL 30 X 30; AZN
502306204116314; ATACAND COMB; ATACAND COMB; NOT FOUND; 16MG COM + 5MG COM LIB PROL CT BL AL/AL 30 X 30; AZN
502300103113310; ACCOLATE; ACCOLATE; NOT FOUND; 20 MG COM REV CT 2 BL AL/AL X 14; AZN
502300104111311; ACCOLATE; ACCOLATE; NOT FOUND; 20 MG COM REV CT 4 BL AL/AL X 14; AZN
