525314090043803; CANDECOR; CANDECOR; NOT FOUND; 8 MG COM CT BL AL PLAS OPC X 30; NQA
525314090043903; CANDECOR; CANDECOR; NOT FOUND; 16 MG COM CT BL AL PLAS OPC X 30; NQA
525314010040606; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG COM CT BL AL PLAS OPC X 30; NQA
525314010040506; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL PLAS OPC X 30; NQA
525314040041906; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
525314040042006; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
525314090044003; CANDECOR HCT; CANDECOR HCT; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
525314090044103; CANDECOR HCT; CANDECOR HCT; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; NQA
525305401138113; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; NQA
525305402134111; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; NQA
525313010038106; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 15; NQA
525313010038206; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 30; NQA
525313010038306; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 60; NQA
525313010038406; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 15; NQA
525313010038506; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 30; NQA
525313010037706; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL/AL X 15; NQA
525313010037806; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL/AL X 30; NQA
525313010037906; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL/AL X 15; NQA
525313010038006; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL/AL X 30; NQA
525300803114110; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; NQA
525300802118112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 20; NQA
525300801111114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 8; NQA
525300901116118; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR AL X 10; NQA
525300902112116; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR AL X 30; NQA
525305502163113; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G; NQA
525305501167115; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; NQA
525305602168117; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; NQA
525305601161119; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG + 0.5 MG + 2.5 MG CREM DERM CT BG AL X 30 G; NQA
525304402114112; CINARIZINA; CINARIZINA; CINARIZINA; 25 MG COM CT BL AL PLAS INC X 30 ; NQA
525304403110110; CINARIZINA; CINARIZINA; CINARIZINA; 75 MG COM CT BL AL PLAS INC X 30 ; NQA
525301002115117; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14; NQA
525301003111115; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 2 BL AL PLAS INC X 14; NQA
525314030040706; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 20; NQA
525314030040806; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 30; NQA
525305701131114; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NQA
525305702138112; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NQA
525309001118118; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB PROL CT BL AL AL X 30; NQA
525309002114116; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB PROL CT BL AL AL X 60; NQA
525308302114113; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 10; NQA
525308303110111; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; NQA
525308301118115; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; NQA
525301403111112; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; NQA
525301404116118; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 6 ; NQA
525306901118111; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT BL AL PLAS OPC X 50; NQA
525306902114118; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT BL AL PLAS OPC X 50; NQA
525304201119117; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT BL AL PLAS OPC X 10 ; NQA
525304202115115; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT BL AL PLAS OPC X 10 ; NQA
525304102110111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; NQA
525304103117111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; NQA
525304104113118; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS TRANS X 60; NQA
525312040034406; CLORIDRATO DE MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; 400 MG COM REV CT BL AL AL X 05; NQA
525312040034306; CLORIDRATO DE MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; 400 MG COM REV CT BL AL AL X 07; NQA
525314100044306; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML ; NQA
525309202113113; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5 MG COM REV CT BL AL PLAS OPC X 10; NQA
525309201117115; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5 MG COM REV CT BL AL PLAS OPC X 4; NQA
525304301113110; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT 2 BL AL PLAS INC X 10; NQA
525304302111111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS INC X 10; NQA
525308903118113; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15 MG COM CT FR PLAS OPC X 15; NQA
525308901115117; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 15; NQA
525308904114111; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 30; NQA
525308902111115; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 45 MG COM CT FR PLAS OPC X 15; NQA
