96786, MAGNALIV , MAGNALIV, NOT FOUND, CPR REVEST x 30, MYL
72650, MAGRIX , MAGRIX, NOT FOUND, CPR 500 MG x 30, MYL
59600, MAGRIX , MAGRIX, NOT FOUND, CPR 500 MG x 60, MYL
80210, MAXXI D3 , MAXXI D3, NOT FOUND, GOTAS 20 ML x 1, MYL
105451, MAXXI D3 , MAXXI D3, NOT FOUND, GOTAS KIDS 200 IU 10 ML x 1 (/ML), MYL
105452, MAXXI D3 , MAXXI D3, NOT FOUND, SOL ORAL 100 ML x 1, MYL
68932, MINERALIS MAGNESIO , MINERALIS MAGNESIO, NOT FOUND, CAPS GEL 150 MG x 30, MYL
68935, MYRAFER , MYRAFER, NOT FOUND, CPR MASC 10 MG x 60 (INF), MYL
80243, MYRAFER , MYRAFER, NOT FOUND, GOTAS 2.50 MG 30 ML x 1, MYL
69750, MYRAFORT , MYRAFORT, NOT FOUND, CPR REVEST F x 30, MYL
75569, MYRAFORT , MYRAFORT, NOT FOUND, CPR REVEST F x 60, MYL
69751, MYRAVIT , MYRAVIT, NOT FOUND, CPR REVEST x 30, MYL
75570, MYRAVIT , MYRAVIT, NOT FOUND, CPR REVEST x 60, MYL
69752, MYRAVIT GEST , MYRAVIT GEST, NOT FOUND, CPR REVEST x 30, MYL
75571, MYRAVIT GEST , MYRAVIT GEST, NOT FOUND, CPR REVEST x 60, MYL
69753, MYRAVIT LACT , MYRAVIT LACT, NOT FOUND, CPR x 30, MYL
75572, MYRAVIT LACT , MYRAVIT LACT, NOT FOUND, CPR x 60, MYL
