28951, PANOXYL , PANOXYL, NOT FOUND, GEL. 100 MG 45 G x 1 (/G), STF
28950, PANOXYL , PANOXYL, NOT FOUND, GEL. 50 MG 45 G x 1 (/G), STF
8501, POLYTAR , POLYTAR, NOT FOUND, LIQD 120 ML x 1, STF
30834, POLYTAR , POLYTAR, NOT FOUND, LIQD 200 ML x 1, STF
51858, POLYTAR , POLYTAR, NOT FOUND, SABAO 100 G x 1, STF
48488, POLYTAR PROTEINAS , POLYTAR PROTEINAS, NOT FOUND, LIQD 120 ML x 1, STF
48489, POLYTAR PROTEINAS , POLYTAR PROTEINAS, NOT FOUND, LIQD 200 ML x 1, STF
49171, PRURIX , PRURIX, NOT FOUND, LOC. 120 ML x 1, STF
48126, PSOREX , PSOREX, NOT FOUND, CREME 0.50 MG 30 G x 1 (/G), STF
48081, PSOREX , PSOREX, NOT FOUND, POM. 0.50 MG 30 G x 1 (/G), STF
48127, PSOREX , PSOREX, NOT FOUND, SOLN CAPIL 0.50 MG 50 G x 1 (/ML), STF
