522241601110216; SUTENT; SUTENT; NOT FOUND; 12.5 MG CAP GEL DURA CT FR PLAS OPC X 28  ; PFZ
522241603113212; SUTENT; SUTENT; NOT FOUND; 25 MG CAP GEL DURA CT FR PLAS OPC X 28 ; PFZ
522241605116219; SUTENT; SUTENT; NOT FOUND; 50 MG CAP GEL DURA CT FR PLAS OPC X 28 ; PFZ
522239202115417; SERMION; SERMION; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 20; PFZ
522212010050603; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 1 FA VD INC; PFZ
522212010050703; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 10 FA VD INC; PFZ
522212010050803; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 20 FA VD INC; PFZ
522212010050903; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 30 FA VD INC; PFZ
522242002172311; SOMAVERT; SOMAVERT; NOT FOUND; 10 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL; PFZ
522212010051003; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 1 FA VD INC; PFZ
522212010051103; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 10 FA VD INC; PFZ
522212010051203; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 20 FA VD INC; PFZ
522212010051303; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 30 FA VD INC; PFZ
522242004175316; SOMAVERT; SOMAVERT; NOT FOUND; 15 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL ; PFZ
522212010051403; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 1 FA VD INC; PFZ
522212010051503; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 10 FA VD INC; PFZ
522212010051603; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 20 FA VD INC; PFZ
522212010051703; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 30 FA VD INC; PFZ
522242006178312; SOMAVERT; SOMAVERT; NOT FOUND; 20 MG PO LIOF INJ CT 30 FA VD INC + 30 FA DIL; PFZ
522240501155414; SOLU MEDROL; SOLU MEDROL; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC + FA DIL VD INC X 16 ML; PFZ
522240502151412; SOLU MEDROL; SOLU MEDROL; NOT FOUND; 125 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 2 ML; PFZ
522240503158410; SOLU MEDROL; SOLU MEDROL; NOT FOUND; 40 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 1 ML; PFZ
522240504154419; SOLU MEDROL; SOLU MEDROL; NOT FOUND; 500 MG PO LIOF INJ CT FA VD INC + FA DIL VD INC X 8 ML; PFZ
