1055301830021; LUPRON; LUPRON; NOT FOUND; 5.0 MG/ML SOL INJ PT PLAS OPC  FA VD INC X 2.8 ML + 14 SER; ABT
1055301830072; LUPRON DEPOT; LUPRON DEPOT; NOT FOUND; 11.25 MG PO LIOF INJ ESTOJO FA VD INC + DIL UENTE AMP VD INC X 2.0 ML + 1 SER + 2 AGU; ABT
1055301830064; LUPRON DEPOT; LUPRON DEPOT; NOT FOUND; 22.5 MG PO LIOF INJ CX FA VD INC + DIL + SER + 2 AGU; ABT
1055301830048; LUPRON DEPOT; LUPRON DEPOT; NOT FOUND; 3.75 MG PO LIOF INJ CX FA VD INC + DILUENTE + SER + 2 AGU; ABT
1055301830099; LUPRON DEPOT; LUPRON DEPOT; NOT FOUND; 7.5 MG PO LIOF INJ CX FA VD INC + DIL + SER + 2 AGU; ABT
1055303580146; LIPIDIL; LIPIDIL; NOT FOUND; 160 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30; ABT
1055303580081; LIPIDIL; LIPIDIL; NOT FOUND; 200 MG CAP GEL DURA CT BL AL PLAS PVC/PVDC TRANS X 30; ABT
1055302360010; LEVOPHED; LEVOPHED; NOT FOUND; 2 MG/ML SOL INJ CX 10 AMP VD INC X 4 ML; ABT
1008200730224; LEVOCARNIN; LEVOCARNIN; NOT FOUND; 100 MG/ML SOL OR CT 10 FLAC X 10 ML; ABT
1055303520011; LUVOX; LUVOX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 15 ; ABT
1055303520021; LUVOX; LUVOX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; ABT
1055303520054; LUVOX; LUVOX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 15 ; ABT
1055303520062; LUVOX; LUVOX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; ABT
1055303520046; LUVOX; LUVOX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 8 ; ABT
1008201660017; LUVOX; LUVOX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 15 ; ABT
1008201660025; LUVOX; LUVOX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; ABT
1008201660051; LUVOX; LUVOX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 15; ABT
1008201660041; LUVOX; LUVOX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 8; ABT
1008201660068; LUVOX; LUVOX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; ABT
1055302250061; LEUTROL; LEUTROL; NOT FOUND; 15 MG SOL INJ CT 5 AMP VD INC X 1.5 ML; ABT
1055302250037; LEUTROL; LEUTROL; NOT FOUND; 15 MG COMP CT FR VD AMB X 10; ABT
1055302250010; LEUTROL; LEUTROL; NOT FOUND; 7.5 MG COMP CT FR VD AMB X 10; ABT
1055301870031; LIDOCABBOTT; LIDOCABBOTT; NOT FOUND; 2 % SOL INJ CX 12 FA VD INC X 20 ML; ABT
1055301870041; LIDOCABBOTT H; LIDOCABBOTT H; NOT FOUND; 5 % SOL INJ CX 25 AMP VD INC X 2 ML; ABT
1055302140010; LIDOCABBOTT PLUS; LIDOCABBOTT PLUS; NOT FOUND; 2 % SOL INJ CX 12 FA VD INC X 20 ML; ABT
