1055302590105; IRUXOL; IRUXOL; NOT FOUND; POM DERM CT 50 BG AL X 30 G; ABT
1055302590059; IRUXOL; IRUXOL; NOT FOUND; 0.6 U/G + 0.01 G POM DERM CT BG AL X 15 G + ESPATULA; ABT
1055302590032; IRUXOL; IRUXOL; NOT FOUND; 0.6 U/G + 0.01 G POM DERM CT BG AL X 30 G; ABT
1055302590067; IRUXOL; IRUXOL; NOT FOUND; 0.6 U/G + 0.01 G POM DERM CT BG AL X 50 G + ESPATULA; ABT
1055303080070; IRUXOL; IRUXOL; NOT FOUND; 1.2U/G POM DERM CT BG AL X 30G + ESPATULA; ABT
1055303080054; IRUXOL; IRUXOL; NOT FOUND; 1.2U/G POM DERM CT BG AL X 15G + ESPATULA; ABT
1055302590024; IRUXOL; IRUXOL; NOT FOUND; 0.6 U/G + 0.01 G POM DERM CT BG AL X 15 G; ABT
1055302590040; IRUXOL; IRUXOL; NOT FOUND; 0.6 U/G + 0.01 G POM DERM CT BG AL X 50 G; ABT
1055303080135; IRUXOL MONO; IRUXOL MONO; NOT FOUND; 1.2 U/G POM DERM CT 50 BG AL X 30 G; ABT
1055303080143; IRUXOL MONO; IRUXOL MONO; NOT FOUND; 1.2 U/G POM DERM CT BG AL X 15 G; ABT
1055303080062; IRUXOL MONO; IRUXOL MONO; NOT FOUND; 1.2 U/G POM DERM CT BG AL X 30 G; ABT
1008201010020; INVEX; INVEX; NOT FOUND; 2.5 MG/G CREM DERM CT BG AL X 20 G; ABT
