1055302920016; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; ABT
1055302920024; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; ABT
1055303500010; BURINAX; BURINAX; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; ABT
1008200070011; BURINAX; BURINAX; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; ABT
1055302190069; BLOPRESS; BLOPRESS; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 30; ABT
1055302190220; BLOPRESS; BLOPRESS; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 20; ABT
1055302190042; BLOPRESS; BLOPRESS; NOT FOUND; 8 MG COM CT BL AL PLAS INC X 30; ABT
1055302190204; BLOPRESS; BLOPRESS; NOT FOUND; 8 MG COM CT BL AL PLAS INC X 20; ABT
1008201460042; BETASERC; BETASERC; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 30; ABT
1008201460050; BETASERC; BETASERC; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 30; ABT
1008201460069; BETASERC; BETASERC; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 60; ABT
1008201460107; BETASERC; BETASERC; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 120; ABT
1008201460093; BETASERC; BETASERC; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 90; ABT
1055300130190; BUFEDIL; BUFEDIL; NOT FOUND; 10 MG/ ML SOL INJ CX 5 AMP VD INC X 5 ML; ABT
1055300130255; BUFEDIL; BUFEDIL; NOT FOUND; 150 MG COM REV CT FR VD AMB X 30; ABT
1055300130239; BUFEDIL; BUFEDIL; NOT FOUND; 300 MG COM REV CT FR VD AMB X 30; ABT
1055300130247; BUFEDIL; BUFEDIL; NOT FOUND; 600 MG COM REV CT FR VD AMB X 15; ABT
1055300130281; BUFEDIL; BUFEDIL; NOT FOUND; 300 MG COM REV CT BL AL PVC X 20 ; ABT
1055300130271; BUFEDIL; BUFEDIL; NOT FOUND; 150 MG COM REV CT BL AL PVC X 40; ABT
1055300140018; BUPIABBOTT; BUPIABBOTT; NOT FOUND; 0.25 PCC SOL INJ CX 6 FA VD INC X 20 ML; ABT
1055300140026; BUPIABBOTT; BUPIABBOTT; NOT FOUND; 0.50 PCC SOL INJ CX 6 FA VD INC X 20 ML; ABT
1055300140034; BUPIABBOTT; BUPIABBOTT; NOT FOUND; 0.75 PCC SOL INJ CX 6 FA VD INC X 20 ML; ABT
1055302050038; BUPIABBOTT PLUS; BUPIABBOTT PLUS; NOT FOUND; 5 MG/ML + 5 MCG/ML SOL INJ CX 6 FA VD INC X 30 ML; ABT
1055303430020; BETASERC; BETASERC; NOT FOUND; 16 MG COM CT BL AL PLAS INC X 30; ABT
1055303430039; BETASERC; BETASERC; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 30; ABT
1055303430047; BETASERC; BETASERC; NOT FOUND; 24 MG COM CT BL AL PLAS INC X 60 ; ABT
