1011600280077; RITMONORM; RITMONORM; NOT FOUND; EV 3.5MG/ML SOL INJ CT 6 AMP VD AMB X 20ML; ABT
1055303090130; RITMONORM; RITMONORM; NOT FOUND; 3.5 MG/ML SOL INJ CT 6 AMP VD INC X 20 ML; ABT
1055303090122; RITMONORM; RITMONORM; NOT FOUND; 300 MG COM REV CT BL AL PLAS AMB X 20 ; ABT
1055303090033; RITMONORM; RITMONORM; NOT FOUND; 300 MG COM REV CT BL AL PLAS AMB X 30; ABT
1055303090114; RITMONORM; RITMONORM; NOT FOUND; 300 MG COM REV CT BL AL PLAS AMB X 10 ; ABT
1055303090327; RITMONORM; RITMONORM; NOT FOUND; 300 MG COM REV CT BL AL PLAS AMB X 60; ABT
1055303090270; RITMONORM SR; RITMONORM SR; NOT FOUND; 225 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 30; ABT
1055303090297; RITMONORM SR; RITMONORM SR; NOT FOUND; 325 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 30; ABT
1055303090319; RITMONORM SR; RITMONORM SR; NOT FOUND; 425 MG CAP GEL DURA LIB PROL CT BL AL PLAS INC X 30; ABT
1055302560028; REDUCTIL; REDUCTIL; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PVC / PVDC INC X 30; ABT
1055302560044; REDUCTIL; REDUCTIL; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 30; ABT
1055302560052; REDUCTIL; REDUCTIL; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PVC / PVDC INC X 10; ABT
1055302560036; REDUCTIL; REDUCTIL; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PVC / PVDC INC X 10; ABT
1055303510024; REVECTINA; REVECTINA; NOT FOUND; 6 MG COM CT BL AL PVDC INC X 4; ABT
1055303510016; REVECTINA; REVECTINA; NOT FOUND; 6 MG COM CT BL AL PVDC INC X 2 ; ABT
1008201410010; REVECTINA; REVECTINA; NOT FOUND; 6 MG COMP CT STR AL X 2; ABT
1008201410029; REVECTINA; REVECTINA; NOT FOUND; 6 MG COMP CT STR AL X 4; ABT
1008201410053; REVECTINA; REVECTINA; NOT FOUND; 6 MG COM CT BL AL PVDC INC X 2 ; ABT
1008201410061; REVECTINA; REVECTINA; NOT FOUND; 6 MG COM CT BL AL PVDC TRANS X 4; ABT
