1055303360030; VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA); VACINA INFLUENZA INATIVADA SUBUNITARIA; NOT FOUND; SUS INJ CT 1 SER PREENC VD INC S/ AGU X 0.5 ML  ; ABT
1055303360049; VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA); VACINA INFLUENZA INATIVADA SUBUNITARIA; NOT FOUND; SUS INJ CT 10 SER PREENC VD INC S/ AGU X 0.5 ML  04; ABT
1055303360014; VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA); VACINA INFLUENZA INATIVADA SUBUNITARIA; NOT FOUND; SUS INJ CT 1 SER PREENC VD INC X 0.5 ML ; ABT
1055302110014; VANCOABBOTT; VANCOABBOTT; NOT FOUND; 500MG PO LIOF CX 25 FA VD INC; ABT
1008200550049; VALIX; VALIX; NOT FOUND; 10 MG COMP CT 2 BL AL PLAS INC X 10; ABT
1055303480052; VIBRAL; VIBRAL; NOT FOUND; 1.5 MG/ML XPE PED CT FR PLAS AMB X 120 ML + COP; ABT
1055303480044; VIBRAL; VIBRAL; NOT FOUND; 3 MG/ML XPE ADU CT FR PLAS AMB X 120 ML + COP; ABT
1055303480036; VIBRAL; VIBRAL; NOT FOUND; 30 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; ABT
1008200570051; VIBRAL; VIBRAL; NOT FOUND; 1.5 MG/ ML XPE PED CT FR VD AMB X 120 ML + CP MED; ABT
1008200570043; VIBRAL; VIBRAL; NOT FOUND; 3 MG / ML XPE ADU CT FR VD AMB X 120 ML + CP MED; ABT
1008200570078; VIBRAL; VIBRAL; NOT FOUND; 30 MG/ML SOL OR CT FR PLAS OPC GTJ X 10 ML; ABT
1008200570091; VIBRAL; VIBRAL; NOT FOUND; 3 MG/ML XPE ADU CT FR PLAS AMB X 120 ML + COP; ABT
1008200570103; VIBRAL; VIBRAL; NOT FOUND; 1.5 MG/ML XPE PED CT FR PLAS AMB X 120 ML + COP; ABT
