1055303420017; PEDIALYTE 45 ZINCO; PEDIALYTE 45 ZINCO; NOT FOUND; SOL OR FR PLAS OPC X 500 ML (SABOR MACA); ABT
1055303420025; PEDIALYTE 45 ZINCO; PEDIALYTE 45 ZINCO; NOT FOUND; SOL OR FR PLAS OPC X 500ML (SABOR MORANGO); ABT
1055303420033; PEDIALYTE 45 ZINCO; PEDIALYTE 45 ZINCO; NOT FOUND; SOL OR FR PLAS OPC X 500 ML (SABOR GUARANA); ABT
1055303410011; PEDIALYTE 60 ZINCO; PEDIALYTE 60 ZINCO; NOT FOUND; SOL OR FR PLAS OPC X 500ML (SABOR MACA) ; ABT
1055303410021; PEDIALYTE 60 ZINCO; PEDIALYTE 60 ZINCO; NOT FOUND; SOL OR FR PLAS OPC X 500ML (SABOR UVA) ; ABT
1055300500516; PEDIALYTE; PEDIALYTE; NOT FOUND; SOL ORAL FR PLAS TRANSP X 500 ML; ABT
1055301120261; PEDIALYTE; PEDIALYTE; NOT FOUND; 45 - PO P/ DILUICAO CX 1 ENV X 15.10 G (LARANJA); ABT
1055301120342; PEDIALYTE; PEDIALYTE; NOT FOUND; SOL ORAL FR PLAS TRANSP X 500 ML (CEREJA); ABT
1055301120441; PEDIALYTE; PEDIALYTE; NOT FOUND; SOL ORAL FR PLAS TRANSP X 500 ML (COCO); ABT
1055301120393; PEDIALYTE; PEDIALYTE; NOT FOUND; SOL ORAL FR PLAS TRANSP X 500 ML (GUARANA); ABT
1055301120350; PEDIALYTE; PEDIALYTE; NOT FOUND; SOL ORAL FR PLAS TRANSP X 500 ML (MACA); ABT
1055301120490; PEDIALYTE; PEDIALYTE; NOT FOUND; 45 - SOL ORAL FR PLAS TRANSP X 500 ML (PESSEGO); ABT
1055301120474; PEDIALYTE; PEDIALYTE; NOT FOUND; SOL ORAL FR PLAS TRANSP X 500 ML (TUTI-FRUTI); ABT
1055300500362; PEDIALYTE; PEDIALYTE; NOT FOUND; 90 - PO P/ PREP EXTEMP CX 1 ENV X 14.18 G; ABT
1055300500575; PEDIALYTE; PEDIALYTE; NOT FOUND; SOL ORAL FR PLAS TRANSP X 500 ML; ABT
1005302390017; PRECEDEX; PRECEDEX; NOT FOUND; 100 MCG/ML SOL INJ CX 5 FA VD INC X 2 ML; ABT
1008201510015; PANKREOFLAT; PANKREOFLAT; NOT FOUND; 170 MG + 80 MG DRG CT 2 BL AL PLAS INC X 10; ABT
1055300480366; PANTOMICINA; PANTOMICINA; NOT FOUND; 125 MG SUS ORAL CT FR VD AMB X 100 ML; ABT
1055300480374; PANTOMICINA; PANTOMICINA; NOT FOUND; 250 MG SUS ORAL CT FR VD AMB X 50 ML; ABT
1055300480188; PANTOMICINA; PANTOMICINA; NOT FOUND; 2 PCC SOL TOP CT FR VD AMB X 60 ML; ABT
1055300480401; PANTOMICINA; PANTOMICINA; NOT FOUND; 250 MG COM REV CT 2 STR X 10; ABT
1055300480426; PANTOMICINA; PANTOMICINA; NOT FOUND; 500 MG COM REV CT STR X 10; ABT
1008201530067; PHYSIOTENS; PHYSIOTENS; NOT FOUND; 0.4 MG COMP REV CT 2 BL PLAS INC X 14; ABT
1008200330048; POLIGINAX; POLIGINAX; NOT FOUND; (35.000 UI + 35.000 UI + 100.000 UI + 150 MG)/ 4G CREM VAG CT BG AL X 60 G + 12 APLIC; ABT
1008200330031; POLIGINAX; POLIGINAX; NOT FOUND; (35.000UI + 35.000UI + 100.000UI + 150MG)/ OVL CT 2 BL AL PLAS INC X 6 + 1 APLIC; ABT
1055302900015; PANZYTRAT; PANZYTRAT; NOT FOUND; 25000UI + 22500 UI + 1250 UI CAP GEL DURA CT 2 ST; ABT
1008200320360; PIROXENE; PIROXENE; NOT FOUND; 20 MG COMP REV CT C/ 1 BL AL X 15; ABT
1055302270046; PROPOABBOTT; PROPOABBOTT; NOT FOUND; 10 MG/ML EMUL INJ CX 5 FA VD INC X 20 ML; ABT
1055302270054; PROPOABBOTT; PROPOABBOTT; NOT FOUND; 10 MG/ML EMUL INJ CX FA VD INC X 50 ML; ABT
1055302450011; PROPOFOL; PROPOFOL; PROPOFOL; 10 MG/ML EMUL INJ CT AMP VD INC X 20 ML; ABT
1055302450036; PROPOFOL; PROPOFOL; PROPOFOL; 10 MG/ML EMUL INJ CT FA VD INC X 20 ML; ABT
1055302450052; PROPOFOL; PROPOFOL; PROPOFOL; 10 MG/ML EMUL INJ CT FA VD INC X 50 ML; ABT
1055302450028; PROPOFOL; PROPOFOL; PROPOFOL; 10 MG/ML EMUL INJ CX 5 AMP VD INC X 20 ML; ABT
1055302450044; PROPOFOL; PROPOFOL; PROPOFOL; 10 MG/ML EMUL INJ CX 5 FA VD INC X 20 ML; ABT
1055302450060; PROPOFOL; PROPOFOL; PROPOFOL; 10 MG/ML EMUL INJ CX 5 FA VD INC X 50 ML; ABT
